applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,宜秀区,671,83357057,,合肥育乾教育咨询有限公司,CZ833570570,83357057,[],20-99人,http://company.zhaopin.com/CZ833570570.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,培训/课外教育/教育辅助,0,0,40300990502,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,八小时客服文员,[],CC833570570J40300990502,[],,1,1,,http://jobs.zhaopin.com/CC833570570J40300990502.htm,http://jobs.zhaopin.com/CC833570570J40300990502.htm,民营,False,2022-07-21 10:49:37,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-1万,,6001-10000,1,"[{'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '电话客服'}, {'state': 0, 'value': '网络客服'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/efc8b2f717304aaa85737959a0c39e26/6aaac9e2-da66-453e-aac6-31cf263a8e7f.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1126225112, 'lastOnlineTime': 1658656887072, 'staffName': '刘先生'}",34081105,大桥街道,13000100100000,客服专员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '周末双休'}]",安庆,全职,不限,False,False,e98313e7-99c0-494f-99e6-6cf1093f57d6
1,False,False,1,,671,142378261,,华思蓝半导体设备(苏州)有限公司,CZL1423782610,142378261,[],20-99人,http://company.zhaopin.com/CZL1423782610.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,人工智能,0,0,40314080106,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,仓管8000+每天8小时（加班另算加班费）+包吃住,[],CCL1423782610J40314080106,[],,1,1,,http://jobs.zhaopin.com/CCL1423782610J40314080106.htm,http://jobs.zhaopin.com/CCL1423782610J40314080106.htm,,False,2022-07-24 10:44:02,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",26,,False,False,False,8千-9千,,8001-9000,1,"[{'state': 0, 'value': 'IT/互联网'}, {'state': 0, 'value': '通信/网络设备'}, {'state': 0, 'value': '电子/半导体'}, {'state': 0, 'value': '电子商务'}, {'state': 0, 'value': '汽车行业'}, {'state': 0, 'value': '3C电子产品'}, {'state': 0, 'value': '光伏行业'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '主管', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1143268755, 'lastOnlineTime': 1658656839027, 'staffName': '范女士'}",34080306,菱湖街道,2000200020000,仓库管理员,,,0,"[{'state': 0, 'value': '不加班'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '包住'}]",安庆,全职,不限,False,False,2d0a954f-26c1-41bf-bb64-d57866736320
1,False,False,1,迎江区,671,125878606,,安庆超能达电子商务有限公司,CZL1258786060,125878606,[],20-99人,http://company.zhaopin.com/CZL1258786060.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '五险一金！职业规划计划，培养专业电商人才'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,家具/家居/家电,0,0,40294936102,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,新媒体运营,[],CCL1258786060J40294936102,[],五险一金！职业规划计划，培养专业电商人才,1,1,,http://jobs.zhaopin.com/CCL1258786060J40294936102.htm,http://jobs.zhaopin.com/CCL1258786060J40294936102.htm,民营,False,2022-06-24 12:49:53,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,3千-6千,,3001-6000,1,"[{'state': 0, 'value': '小红书种草'}, {'state': 0, 'value': '知乎图文运营'}, {'state': 0, 'value': '抖音短视频编辑'}, {'state': 0, 'value': '短视频运营'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1140627396, 'lastOnlineTime': 1658649171481, 'staffName': '陈小聪'}",34080204,龙狮桥乡,5000200060000,新媒体运营,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}]",安庆,全职,不限,False,False,520ba25c-c2ea-4deb-8d4a-4b5f35696f26
1,False,False,1,迎江区,671,84292373,,温州赏金猎人网络科技有限公司,CZ842923730,84292373,[],20-99人,http://company.zhaopin.com/CZ842923730.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '居家办公'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网,0,0,40271731811,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,异地游戏客服,[],CC842923730J40271731811,[],居家办公,1,1,,http://jobs.zhaopin.com/CC842923730J40271731811.htm,http://jobs.zhaopin.com/CC842923730J40271731811.htm,民营,False,2022-07-13 10:56:05,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",30,,False,False,False,3千-4千,,3001-4000,1,"[{'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '无销售性质'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/dc1ebc452504425aa72c351a81ae490a/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220504130441.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1133999092, 'lastOnlineTime': 1658662323294, 'staffName': '张文跃'}",34080204,龙狮桥乡,13000100190000,网络客服,,,0,[],安庆,全职,不限,False,False,02a11b2f-504c-4339-8864-aa64eda97917
1,False,False,1,宜秀区,671,137948263,https://storage-public.zhaopin.cn/org/logo/1637223236511588760/002%20%282%29.jpg,铜陵有色金属集团股份有限公司安庆铜矿,CZL1379482630,137948263,[],1000-9999人,http://company.zhaopin.com/CZL1379482630.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '世界500强、上市公司'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,矿产/采掘,0,0,40256522110,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,采矿工程师,[],CCL1379482630J40256522110,[],世界500强、上市公司,1,1,,http://jobs.zhaopin.com/CCL1379482630J40256522110.htm,http://jobs.zhaopin.com/CCL1379482630J40256522110.htm,上市公司,False,2022-07-18 15:05:51,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,8千-1万,,8001-10000,1,"[{'state': 0, 'value': '采矿'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力资源部长', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1119674213, 'lastOnlineTime': 1658650891419, 'staffName': '乔二锋'}",34081102,白泽湖乡,7000300480000,选矿/采矿,,,0,"[{'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '全额公积金'}, {'state': 0, 'value': '绩效奖金'}]",安庆,全职,无经验,False,False,9085f475-f1e0-43d3-aa65-ddedfa0d70a8
1,False,False,1,迎江区,671,142628107,,安徽柒月文化传媒有限公司,CZL1426281070,142628107,[],20人以下,http://company.zhaopin.com/CZL1426281070.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,文化艺术/娱乐,0,0,40301694309,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,视频剪辑,[],CCL1426281070J40301694309,[],,1,1,,http://jobs.zhaopin.com/CCL1426281070J40301694309.htm,http://jobs.zhaopin.com/CCL1426281070J40301694309.htm,民营,False,2022-07-19 00:11:30,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '电影'}, {'state': 0, 'value': '短视频'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '总经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1139911499, 'lastOnlineTime': 1658663569094, 'staffName': '田广喜'}",34080204,龙狮桥乡,4000300040000,剪辑师,,,0,[],安庆,全职,不限,False,False,391e35e7-2e80-4217-a34c-08b9a6ac3771
1,False,False,1,,671,126873069,,苏州龙恩物流有限公司,CZL1268730690,126873069,[],1000-9999人,http://company.zhaopin.com/CZL1268730690.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '薪资高工作稳定工作环境好包吃住'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,电子设备制造,0,0,40308524510,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,急招质检员280一天包吃住,[],CCL1268730690J40308524510,[],薪资高工作稳定工作环境好包吃住,1,1,,http://jobs.zhaopin.com/CCL1268730690J40308524510.htm,http://jobs.zhaopin.com/CCL1268730690J40308524510.htm,,False,2022-07-23 15:17:17,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",65,,False,False,False,7千-9千,,7001-9000,1,"[{'state': 0, 'value': 'QC'}, {'state': 0, 'value': '维修工'}, {'state': 0, 'value': '分拣工'}, {'state': 0, 'value': '检验员'}, {'state': 0, 'value': '仓管员'}, {'state': 0, 'value': '包边工'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1658665801162837130/c2c069d3-be8d-46bf-91b8-a0184d78b036.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '综合人事主管', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1143446171, 'lastOnlineTime': 1658665850193, 'staffName': '高先生'}",34080205,老峰镇,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '全勤奖'}]",安庆,全职,不限,False,False,a9ccd034-e95f-42e6-8a86-68b4ef490b29
1,False,False,1,迎江区,671,137948463,https://storage-public.zhaopin.cn/org/logo/1647337533958497675/%E5%90%9B%E4%BA%91logo.png,安庆君云人才服务有限公司,CZL1379484630,137948463,[],20-99人,http://company.zhaopin.com/CZL1379484630.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '暑假工，120元/天，16岁以上皆可'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40310944812,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,暑假工,[],CCL1379484630J40310944812,[],暑假工，120元/天，16岁以上皆可,1,1,,http://jobs.zhaopin.com/CCL1379484630J40310944812.htm,http://jobs.zhaopin.com/CCL1379484630J40310944812.htm,其它,False,2022-07-14 14:10:19,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,3千-5千,,3001-5000,1,"[{'state': 0, 'value': '全职兼职均可'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/cf72c37c8bac4cbcb1cac866c28ef004/da0b3226b6fd0f580cdc716db175bea.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事主管', 'hrOnlineIocState': 0, 'hrOnlineState': '昨日活跃', 'id': 1141068487, 'lastOnlineTime': 1658589259296, 'staffName': '徐女士'}",34080209,滨江街道,6000500040000,服务员,,,0,"[{'state': 0, 'value': '包吃'}]",安庆,全职,不限,False,False,c65509c2-b1eb-4043-a26c-93940d641518
1,False,False,1,宜秀区,671,126823052,https://storage-public.zhaopin.cn/org/logo/1652942516026274368/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220519143413.jpg,缘新诺企业管理服务,CZL1268230520,126823052,[],1000-9999人,http://company.zhaopin.com/CZL1268230520.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '长白班上班可带手机300一天'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40310463506,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,长白班上班300一天拒暑假工可带手机,[],CCL1268230520J40310463506,[],长白班上班可带手机300一天,1,1,,http://jobs.zhaopin.com/CCL1268230520J40310463506.htm,http://jobs.zhaopin.com/CCL1268230520J40310463506.htm,股份制企业,False,2022-07-24 09:04:21,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,7千-8千,,7001-8000,1,"[{'state': 0, 'value': '搬运装卸工'}, {'state': 0, 'value': '分拣工'}, {'state': 0, 'value': '检验员'}, {'state': 0, 'value': '仓管员'}, {'state': 0, 'value': '安装装配工'}, {'state': 0, 'value': '包装印刷工'}, {'state': 0, 'value': '机床操作工'}, {'state': 0, 'value': '激光操作工'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 1, 'hrOnlineState': '当前在线', 'id': 1142134641, 'lastOnlineTime': 1658669127551, 'staffName': '吴先生'}",34081105,大桥街道,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '14薪'}, {'state': 0, 'value': '免费班车'}]",安庆,全职,不限,False,False,2b631719-9874-4e8d-835b-684347e24b3c
1,False,False,1,迎江区,671,125878606,,安庆超能达电子商务有限公司,CZL1258786060,125878606,[],20-99人,http://company.zhaopin.com/CZL1258786060.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '五险一金！职业规划计划，培养专业电商人才'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,家具/家居/家电,0,0,40294928202,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,淘宝客服,[],CCL1258786060J40294928202,[],五险一金！职业规划计划，培养专业电商人才,1,1,,http://jobs.zhaopin.com/CCL1258786060J40294928202.htm,http://jobs.zhaopin.com/CCL1258786060J40294928202.htm,民营,False,2022-07-08 00:15:20,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",6,,False,False,False,3千-5千,,3001-5000,1,"[{'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '无销售性质'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1140627396, 'lastOnlineTime': 1658649171481, 'staffName': '陈小聪'}",34080204,龙狮桥乡,13000100190000,网络客服,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}]",安庆,全职,不限,False,False,38bbdce7-be6f-4823-90d1-e5d6e7851352
