applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,思明区,682,122530937,,深圳市万御安防服务科技有限公司,CZL1225309370,122530937,[],10000人以上,http://company.zhaopin.com/CZL1225309370.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '长白，巡逻，五险一金'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,物业服务,0,0,40284802513,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,思明区招巡逻岗长白班5000包吃住,[],CCL1225309370J40284802513,[],长白，巡逻，五险一金,1,1,,http://jobs.zhaopin.com/CCL1225309370J40284802513.htm,http://jobs.zhaopin.com/CCL1225309370J40284802513.htm,民营,False,2022-07-12 13:55:20,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",4,,False,False,False,5千-6千,,5001-6000,1,"[{'state': 0, 'value': '巡逻岗'}, {'state': 0, 'value': '包吃包住'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '有无线网'}, {'state': 0, 'value': '免费工装'}, {'state': 0, 'value': '宿舍有空调'}, {'state': 0, 'value': '无纹身'}, {'state': 0, 'value': '全职'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1131961274, 'lastOnlineTime': 1658666870384, 'staffName': '马鹏飞'}",35020306,鼓浪屿街道,6000100030000,保安,,,0,"[{'state': 0, 'value': '包住'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '高温补贴'}]",厦门,全职,不限,False,False,80ef5540-0483-464e-8e08-f22aef7d4983
1,False,False,1,集美区,682,46221708,https://fileihr.zhaopin.com/046/221/046221708/logo/ae2a1a09-a49f-4bbe-a9d0-cc74a4980101.png,大玩家超乐场,CZ462217080,46221708,[],1000-9999人,http://company.zhaopin.com/CZ462217080.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,文化艺术/娱乐,0,0,40305174509,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,大玩家超乐场招收银员,[],CC462217080J40305174509,[],,1,1,,http://jobs.zhaopin.com/CC462217080J40305174509.htm,http://jobs.zhaopin.com/CC462217080J40305174509.htm,民营,False,2022-06-26 11:32:10,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '收银员'}, {'state': 0, 'value': '营业员'}, {'state': 0, 'value': '八小时工作制'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '节假日加班费'}, {'state': 0, 'value': '晋升空间大'}, {'state': 0, 'value': '底薪加提成'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1583924010848920812/2ca88720-be26-44cd-9610-3f68cd542d93.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事部', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1000504658, 'lastOnlineTime': 1658638309828, 'staffName': '大玩家加盟南区'}",35021103,灌口镇,6001500030000,店员/营业员,,,0,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '五险'}, {'state': 0, 'value': '餐补'}]",厦门,全职,无经验,False,False,775cdcec-f7e7-48b9-81b8-8b08f47a8d0b
1,False,False,1,湖里区,682,28210091,https://storage-public.zhaopin.cn/user/avatar/1611747997562591564/%E5%BE%AE%E4%BF%A1%E6%88%AA%E5%9B%BE_20210127194621.png,厦门港务控股集团,CZ282100910,28210091,[],10000人以上,http://company.zhaopin.com/CC282100915.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《物流专员·最新发布职位榜》', 'reportData': {'listid': '729928', 'listcity': '厦门', 'jdname': '综合物流岗（生态农业）', 'workexp': '1-3年', 'jd3rdlevel': '物流专员', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC282100915J00455051104'}}, 'recommendReason': None, 'type': 30}}",False,零售/批发,0,0,455051104,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,综合物流岗（生态农业）,[],CC282100915J00455051104,[],,1,1,,http://jobs.zhaopin.com/CC282100915J00455051104.htm,http://jobs.zhaopin.com/CC282100915J00455051104.htm,国企,False,2022-07-22 10:42:18,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,6千-8千,,6001-8000,1,"[{'state': 0, 'value': '物流'}, {'state': 0, 'value': '供应链'}, {'state': 0, 'value': '国际贸易'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 711868657, 'lastOnlineTime': 1658648376427, 'staffName': 'HR'}",35020606,湖里街道,2000500120000,物流专员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '周末双休'}]",厦门,全职,1-3年,False,False,0cb6c8e4-ed9e-4eb4-b914-b7e9019cef15
1,False,False,1,湖里区,682,56719702,,厦门塔普网络科技有限公司,CZ567197020,56719702,[],20-99人,http://company.zhaopin.com/CZ567197020.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,游戏,0,0,494963107,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,游戏原画师,[],CC567197023J00494963107,[],,1,1,,http://jobs.zhaopin.com/CC567197023J00494963107.htm,http://jobs.zhaopin.com/CC567197023J00494963107.htm,民营,False,2022-07-24 00:29:40,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,7千-1万,,7001-10000,1,"[{'state': 0, 'value': 'PS'}, {'state': 0, 'value': '概念设计'}, {'state': 0, 'value': '绘画'}, {'state': 0, 'value': '美术学'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f7.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1030476853, 'lastOnlineTime': 1658593780596, 'staffName': '江小姐'}",35020606,湖里街道,17000200060000,游戏原画师,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '定期团建'}]",厦门,全职,无经验,False,False,21643fe2-6c66-4af0-847a-c29621893a0e
1,False,False,1,,682,60134043,,厦门谦迅达网络科技有限公司,CZ601340430,60134043,[],20-99人,http://company.zhaopin.com/CZ601340430.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,互联网,0,0,71247504,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,游戏设计策划师+游戏爱好者优先,[],CZ601340430J00071247504,[],,1,1,,http://jobs.zhaopin.com/CZ601340430J00071247504.htm,http://jobs.zhaopin.com/CZ601340430J00071247504.htm,民营,False,2022-07-09 00:16:40,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-8千,,6001-8000,1,"[{'state': 0, 'value': '游戏策划'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1001296163, 'lastOnlineTime': 1658563730895, 'staffName': '叶女士'}",35020307,莲前街道,17000500140000,游戏策划,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '周末双休'}]",厦门,全职,无经验,False,False,67bceb8f-f886-43c5-93f7-3b3812e1900d
1,False,False,1,湖里区,682,49077592,https://storage-public.zhaopin.cn/org/logo/1647921803011407543/LOGO2.png,厦门市拓新原劳务有限公司,CZ490775920,49077592,[],100-299人,http://company.zhaopin.com/%E5%8E%A6%E9%97%A8%E5%B8%82%E6%8B%93%E6%96%B0%E5%8E%9F%E5%8A%B3%E5%8A%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC490775921.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,人力资源服务,0,0,40313436507,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,机场地勤人员,[],CC490775920J40313436507,[],,1,1,,http://jobs.zhaopin.com/CC490775920J40313436507.htm,http://jobs.zhaopin.com/CC490775920J40313436507.htm,民营,False,2022-07-08 17:43:57,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",15,,False,False,False,5千-6千,,5001-6000,1,"[{'state': 0, 'value': '轮班制'}, {'state': 0, 'value': '机场接待员'}, {'state': 0, 'value': '机场候机员'}, {'state': 0, 'value': '机场值机员'}, {'state': 0, 'value': '机场巡视员'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1645192995828825466/e951320b-9b8f-4319-85b2-f438ddeea44e.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1126229629, 'lastOnlineTime': 1658665332773, 'staffName': '杨女士'}",35020605,殿前街道,6000300070000,机场地勤人员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年终奖'}, {'state': 0, 'value': '过节费或'}, {'state': 0, 'value': '过节礼品'}]",厦门,全职,无经验,False,False,153042b9-082e-448b-8943-107c7e450742
1,False,False,1,湖里区,682,130525263,https://storage-public.zhaopin.cn/user/avatar/1610088564975855402/%E8%B1%A1%E9%81%93%E7%89%A9%E6%B5%81-%E7%99%BD%E8%89%B2%E5%BA%95.png,象道物流集团有限公司,CZL1305252630,130525263,[],1000-9999人,http://company.zhaopin.com/CZL1305252630.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《外贸业务员·最新发布职位榜》', 'reportData': {'listid': '586993', 'listcity': '厦门', 'jdname': '贸易业务助理', 'workexp': '无经验', 'jd3rdlevel': '外贸业务员', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CCL1305252630J40282045004'}}, 'recommendReason': None, 'type': 30}}",False,货运/物流仓储,0,0,40282045004,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,贸易业务助理,[],CCL1305252630J40282045004,[],,1,1,,http://jobs.zhaopin.com/CCL1305252630J40282045004.htm,http://jobs.zhaopin.com/CCL1305252630J40282045004.htm,国企,False,2022-07-22 00:12:14,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-7千,,5001-7000,1,"[{'state': 0, 'value': '国企'}, {'state': 0, 'value': '大宗商品贸易'}, {'state': 0, 'value': '业务方向'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1130470536, 'lastOnlineTime': 1658583003065, 'staffName': '徐女士'}",35020603,象屿保税区,19000200070000,外贸业务员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '免费班车'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '高温补贴'}]",厦门,全职,无经验,False,False,f2ee1063-184a-4f3e-897f-b3707a9d4f55
1,False,False,1,,682,31952,https://rd5-public.zhaopin.cn/imgs/company/636b9e073e2663dcf83e3e8848752469.png,象屿集团,CZ000319520,31952,['中国500强'],10000人以上,http://company.zhaopin.com/CZ000319520.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '世界500强、国企平台、专业大牛'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,货运/物流仓储,0,0,40306345415,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,人力共享中心（SSC）助理/主管,[],CC000319520J40306345415,[],世界500强、国企平台、专业大牛,1,1,,http://jobs.zhaopin.com/CC000319520J40306345415.htm,http://jobs.zhaopin.com/CC000319520J40306345415.htm,国企,False,2022-07-08 11:46:48,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,7千-1.4万,15薪,7001-14000,1,"[{'state': 0, 'value': '员工关系'}, {'state': 0, 'value': '薪酬福利'}, {'state': 0, 'value': 'SSC'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力资源经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1131906140, 'lastOnlineTime': 1658649637004, 'staffName': '黄先生'}",35020603,象屿保税区,14000600100000,人力资源专员/助理,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '高温补贴'}]",厦门,全职,1-3年,False,False,f7f4fe91-6e2f-4546-ab35-7594308aedd6
1,False,False,1,湖里区,682,34074408,https://storage-public.zhaopin.cn/org/logo/1657173975296277250/1657173967%281%29.png,厦门西海湾邮轮城投资有限公司,CZ340744080,34074408,[],10000人以上,http://company.zhaopin.com/CZ340744080.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《前台·最新发布职位榜》', 'reportData': {'listid': '587583', 'listcity': '厦门', 'jdname': '前台客服（厦门海上世界）', 'workexp': '1-3年', 'jd3rdlevel': '前台', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC340744080J40311725508'}}, 'recommendReason': None, 'type': 30}}",False,景区/商业/市场等综合管理,0,0,40311725508,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,前台客服（厦门海上世界）,[],CC340744080J40311725508,[],,1,1,,http://jobs.zhaopin.com/CC340744080J40311725508.htm,http://jobs.zhaopin.com/CC340744080J40311725508.htm,国企,False,2022-07-21 19:07:19,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",4,,False,False,False,6千-7千,,6001-7000,1,"[{'state': 0, 'value': '商业中心前台'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力行政主管', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1141235457, 'lastOnlineTime': 1658402074159, 'staffName': '吴先生'}",35020606,湖里街道,14000700080000,前台,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期体检'}]",厦门,全职,1-3年,False,False,a860f342-1992-40e2-ac3b-07b6719871ea
1,False,False,1,,682,60134043,,厦门谦迅达网络科技有限公司,CZ601340430,60134043,[],20-99人,http://company.zhaopin.com/CZ601340430.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '双休'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网,0,0,71251004,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,急聘web前端开发助理工程师,[],CZ601340430J00071251004,[],双休,1,1,,http://jobs.zhaopin.com/CZ601340430J00071251004.htm,http://jobs.zhaopin.com/CZ601340430J00071251004.htm,民营,False,2022-07-09 00:32:21,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,6千-9千,,6001-9000,1,"[{'state': 0, 'value': 'HTML'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1001296163, 'lastOnlineTime': 1658563730895, 'staffName': '叶女士'}",35020307,莲前街道,9000100030000,web前端,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '周末双休'}]",厦门,全职,无经验,False,False,bd28312f-5fc2-4915-b902-b0327a0fb2ce
