applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,,736,56422372,https://storage-public.zhaopin.cn/CompanyLogo/20151021/1207E74BD06B42D59E9641ADF1CA3E91.jpg,武汉谱育检测有限公司,CZ564223720,56422372,[],20-99人,http://company.zhaopin.com/CC564223723.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,检测/认证,0,0,171076305,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,采样员（包住+五险一金）,[],CC564223723J00171076305,[],,1,1,,http://jobs.zhaopin.com/CC564223723J00171076305.htm,http://jobs.zhaopin.com/CC564223723J00171076305.htm,股份制企业,False,2022-07-22 00:17:09,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-8千,,4001-8000,1,"[{'state': 0, 'value': '环境检测'}, {'state': 0, 'value': '环境工程'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '行政部经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1108415476, 'lastOnlineTime': 1658450225760, 'staffName': '张喜燕'}",42011520,豹澥街道,15000400040000,采样技术员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '包住'}]",武汉,校园,无经验,False,False,091bed89-e91d-4af5-ba73-a35474ca50bc
1,False,False,1,洪山区,736,135112469,,天津易速达网络科技有限公司,CZL1351124690,135112469,[],10000人以上,http://company.zhaopin.com/CZL1351124690.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,居民服务,0,0,40302128904,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,一天500 送牙膏牙刷 包吃住 能预支工资,[],CCL1351124690J40302128904,[],,1,1,,http://jobs.zhaopin.com/CCL1351124690J40302128904.htm,http://jobs.zhaopin.com/CCL1351124690J40302128904.htm,其它,False,2022-07-23 10:50:35,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,1万-1.2万,,10001-12000,1,"[{'state': 0, 'value': '包住'}, {'state': 0, 'value': '意外险'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '就近分配'}, {'state': 0, 'value': '弹性工作制'}, {'state': 0, 'value': '宿舍有空调'}, {'state': 0, 'value': '环境好'}, {'state': 0, 'value': '电动车'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1656989919960527902/Wfh0HJd8OA9PdtH32AFA7607B764B68C75906B9256F45FFC.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1141733131, 'lastOnlineTime': 1658626050711, 'staffName': '周善彤'}",42011113,关山街道,2000400040000,配送员,,,0,"[{'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '无试用期'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '能者多得'}, {'state': 0, 'value': '生鲜配送'}]",武汉,全职,不限,False,False,89749eac-f0aa-41c0-b571-fc4855e65afa
1,False,False,1,硚口区,736,124291512,https://storage-public.zhaopin.cn/bapp/weex/1591096448764736834/GgrkrNGYTKFDNXak64273179151A73E041CD99712D1464F2.jpg,平安普惠信息服务有限公司武汉武胜路分公司,CZL1242915120,124291512,[],10000人以上,http://company.zhaopin.com/CZL1242915120.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '平台免费提供培训，提供每半年一次晋升机会'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网金融/小额贷款,0,0,40295618503,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,储备干部,[],CCL1242915120J40295618503,[],平台免费提供培训，提供每半年一次晋升机会,1,1,,http://jobs.zhaopin.com/CCL1242915120J40295618503.htm,http://jobs.zhaopin.com/CCL1242915120J40295618503.htm,上市公司,False,2022-07-24 08:24:43,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",6,,False,False,False,8千-1.6万,14薪,8001-16000,1,"[{'state': 0, 'value': '市场方向'}, {'state': 0, 'value': '销售方向'}, {'state': 0, 'value': '职能方向'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1643353267914598953/i66faUJcKnQlsTICA91F1D42F725A1F6D7448BCEABA0EA1D.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '主管', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1111402566, 'lastOnlineTime': 1658622897751, 'staffName': '周先生'}",42010406,汉中街道,8000100010000,储备干部,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '带团队'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '绩效奖金'}]",武汉,全职,不限,False,False,287f5cec-f8ef-422f-af39-5f2a968c5135
4,False,False,0,,736,15282361,https://rd5-public.zhaopin.cn/imgs/company/d9d2727858d99bb39c7a5d7ebfad1f5d.png,无印良品（上海）商业有限公司,CZ152823610,15282361,['最佳雇主'],1000-9999人,http://company.zhaopin.com/CZ152823610.htm,,0,,初中及以下,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,零售/批发,0,0,40205909007,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,店铺正式员工/店员/营业员(武汉万科未来中心店),[],CC152823610J40205909007,[],,1,1,,http://jobs.zhaopin.com/CC152823610J40205909007.htm,http://jobs.zhaopin.com/CC152823610J40205909007.htm,外商独资,False,2022-07-24 07:11:58,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",100,,False,False,False,4千-6千,,4000-6000,1,[],"{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘担当', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 142944225, 'lastOnlineTime': 1658617930856, 'staffName': 'HR'}",0,,19000200010000,促销员,,,0,[],武汉,全职,无经验,False,False,e6adf1b7-f991-481a-9550-f7eaaf2f8d2a
1,False,False,1,,736,137718567,https://storage-public.zhaopin.cn/org/logo/1640244769277666402/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20211223153232.jpg,武汉新合利源企业管理咨询有限公司,CZL1377185670,137718567,[],20-99人,http://company.zhaopin.com/CZL1377185670.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《电话销售·高投递榜》', 'reportData': {'listid': '235243', 'listcity': '武汉', 'jdname': '电话客服', 'workexp': '无经验', 'jd3rdlevel': '电话销售', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CCL1377185670J40292694401'}}, 'recommendReason': None, 'type': 30}}",False,咨询服务,0,0,40292694401,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,电话客服,[],CCL1377185670J40292694401,[],,1,1,,http://jobs.zhaopin.com/CCL1377185670J40292694401.htm,http://jobs.zhaopin.com/CCL1377185670J40292694401.htm,股份制企业,False,2022-07-05 13:46:52,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,4千-5千,,4001-5000,1,"[{'state': 0, 'value': '电销'}, {'state': 0, 'value': '网络销售'}, {'state': 0, 'value': '银行'}, {'state': 0, 'value': '互联网金融'}, {'state': 0, 'value': '贷款行业'}, {'state': 0, 'value': '全国'}, {'state': 0, 'value': '个人客户（2C）'}, {'state': 0, 'value': '不出差'}]","{'authenticationState': 0, 'avatar': 'http://fecdn3.zhaopin.cn/rd_zhaopin_com/weex/assets/images/wx_1_avatar_female_3.9a18f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1137086359, 'lastOnlineTime': 1658583876423, 'staffName': '蔡女士'}",42010306,唐家墩街街道,19000200030000,电话销售,,,0,"[{'state': 0, 'value': '五险一金'}]",武汉,全职,无经验,False,False,60374c50-f287-4561-9e1f-26f520b43e93
1,False,False,1,江岸区,736,55869,https://rd5-public.zhaopin.cn/imgs/company/fd8ef905373d86ffa29b31f93061c7d8.jpg,蓝月亮,CZ000558690,55869,['最佳雇主'],10000人以上,http://company.zhaopin.com/CZ000558690.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,快速消费品,0,0,40345876314,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,高端家政保洁整理师,[],CC000558690J40345876314,[],,1,1,,http://jobs.zhaopin.com/CC000558690J40345876314.htm,http://jobs.zhaopin.com/CC000558690J40345876314.htm,外商独资,False,2022-06-29 09:20:53,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",4,,False,False,False,6千-1.2万,,6001-12000,1,"[{'state': 0, 'value': '家政培训'}, {'state': 0, 'value': '保洁'}, {'state': 0, 'value': '家政'}, {'state': 0, 'value': '整理'}, {'state': 0, 'value': '收纳'}, {'state': 0, 'value': '保洁服务'}, {'state': 0, 'value': '收纳服务'}, {'state': 0, 'value': '家政管家'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f8.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事伙伴', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1081356679, 'lastOnlineTime': 1658561880849, 'staffName': '刘瑶'}",42010204,永清街街道,6000600020000,家政,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '包住'}]",武汉,全职,不限,False,False,a13cb684-fada-4973-a337-e0e6b9d31b64
1,False,False,1,汉阳区,736,135112469,,天津易速达网络科技有限公司,CZL1351124690,135112469,[],10000人以上,http://company.zhaopin.com/CZL1351124690.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,居民服务,0,0,40302124504,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,一天500 配送果蔬生鲜,[],CCL1351124690J40302124504,[],,1,1,,http://jobs.zhaopin.com/CCL1351124690J40302124504.htm,http://jobs.zhaopin.com/CCL1351124690J40302124504.htm,其它,False,2022-07-23 10:41:56,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,1万-1.3万,,10001-13000,1,"[{'state': 0, 'value': '包住'}, {'state': 0, 'value': '意外险'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '就近分配'}, {'state': 0, 'value': '弹性工作制'}, {'state': 0, 'value': '环境好'}, {'state': 0, 'value': '全职'}, {'state': 0, 'value': '电动车'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1656989919960527902/Wfh0HJd8OA9PdtH32AFA7607B764B68C75906B9256F45FFC.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1141733131, 'lastOnlineTime': 1658626050711, 'staffName': '周善彤'}",42010506,龙阳街道,2000400040000,配送员,,,0,"[{'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '无试用期'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '能者多得'}, {'state': 0, 'value': '生鲜配送'}]",武汉,全职,不限,False,False,54bb44c9-1791-45e2-9f1d-3dfc5af8a2ee
1,False,False,1,江夏区,736,128936151,https://storage-public.zhaopin.cn/org/logo/1653299281850885987/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220523174758.png,深圳南区人瑞人力资源服务有限公司,CZL1289361510,128936151,[],10000人以上,http://company.zhaopin.com/CZL1289361510.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,企业服务,0,0,40296722401,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,规则运营朝九晚六（需要相关经验）,[],CCL1289361510J40296722401,[],,0,1,,http://jobs.zhaopin.com/CCL1289361510J40296722401.htm,http://jobs.zhaopin.com/CCL1289361510J40296722401.htm,上市公司,False,2022-07-12 15:48:41,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,6千-9千,13薪,6001-9000,1,"[{'state': 0, 'value': '平台策略'}, {'state': 0, 'value': '产品策略'}, {'state': 0, 'value': '内容策略'}, {'state': 0, 'value': '用户策略'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/094606cebbef4c3ba496c48c97d09e63/9d36656d0b534a89e5d10b01282906a.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '部长', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1137926440, 'lastOnlineTime': 1658561338696, 'staffName': '冯女士'}",42011521,关东街道,5000300010000,策略运营,,,0,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '每年多次调薪'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '免费班车'}, {'state': 0, 'value': '定期体检'}]",武汉,全职,1-3年,False,False,84566afd-877e-4fc4-979c-e9a88a6286bc
1,False,False,1,江夏区,736,83933826,https://storage-public.zhaopin.cn/user/avatar/1610626693328435018/logo.jpg,泰盈科技集团股份有限公司武汉分公司,CZ839338260,83933826,[],10000人以上,http://company.zhaopin.com/CZ839338260.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '精准资源，大平台，稳定轻松'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,专业技术服务,0,0,40213703610,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,增值业务客服+朝九晚六+六险一金,[],CC839338260J40213703610,[],精准资源，大平台，稳定轻松,1,1,,http://jobs.zhaopin.com/CC839338260J40213703610.htm,http://jobs.zhaopin.com/CC839338260J40213703610.htm,其它,False,2022-07-21 09:41:00,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,8千-1.2万,,8001-12000,1,"[{'state': 0, 'value': '银行'}, {'state': 0, 'value': '个人客户'}, {'state': 0, 'value': '内勤'}, {'state': 0, 'value': '行政班'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/7a8d3316cfea4b73ba0d8d723934f6d6/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20211025161117.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1117711303, 'lastOnlineTime': 1658559807100, 'staffName': '刘溪'}",42011521,关东街道,19000200030000,电话销售,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '项目奖金'}]",武汉,全职,不限,False,False,5919b7c8-b3fb-49a6-8050-886b6e1882e7
1,False,False,1,洪山区,736,42807671,,武汉木林盛电子科技有限公司,CZ428076710,42807671,[],20-99人,http://company.zhaopin.com/CZ428076710.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,IT服务,0,0,40313447912,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,外贸业务经理,[],CC428076710J40313447912,[],,1,1,,http://jobs.zhaopin.com/CC428076710J40313447912.htm,http://jobs.zhaopin.com/CC428076710J40313447912.htm,民营,False,2022-07-20 10:40:57,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",20,,False,False,False,2万-3万,,20001-30000,1,"[{'state': 0, 'value': '东南亚市场'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1115310967, 'lastOnlineTime': 1658397500953, 'staffName': '高先生'}",42011111,卓刀泉街道,19000200180000,外贸经理,,,0,[],武汉,全职,无经验,False,False,cdcc2f8b-33ba-4a58-a4aa-2620e55d3229
