applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,,551,87742587,https://storage-public.zhaopin.cn/org/logo/1631253815960087522/logo.jpg,重庆中升之宝汽车销售服务有限公司,CZ877425870,87742587,[],10000人以上,http://company.zhaopin.com/CZ877425870.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《行政专员/助理·最新发布职位榜》', 'reportData': {'listid': '583082', 'listcity': '重庆', 'jdname': '行政人事专员', 'workexp': '1-3年', 'jd3rdlevel': '行政专员/助理', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC877425870J40210825301'}}, 'recommendReason': None, 'type': 30}}",False,汽车销售与服务,0,0,40210825301,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,行政人事专员,[],CC877425870J40210825301,[],,1,1,,http://jobs.zhaopin.com/CC877425870J40210825301.htm,http://jobs.zhaopin.com/CC877425870J40210825301.htm,上市公司,False,2022-07-22 17:23:26,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-6千,13薪,4001-6000,1,"[{'state': 0, 'value': '后勤管理'}, {'state': 0, 'value': '固定资产管理'}, {'state': 0, 'value': '会务活动'}, {'state': 0, 'value': '接待事务'}, {'state': 0, 'value': '印章证照'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/d5f82e1d07f941da963e2fb555459da8/logo.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1112014076, 'lastOnlineTime': 1658570077235, 'staffName': '杨女士'}",50010713,谢家湾街道,14000400030000,行政专员/助理,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '绩效奖金'}]",重庆,全职,1-3年,False,False,5d03a50e-d095-4299-912f-c33c870af1b0
1,False,False,1,,551,65143883,https://storage-public.zhaopin.cn/user/avatar/1595477687331193217/%E5%A4%8D%E4%BB%B622%205mhobby%20logo.png,重庆洋祺智能科技有限公司,CZ651438830,65143883,[],20-99人,http://company.zhaopin.com/CZ651438830.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《普工/操作工·高投递榜》', 'reportData': {'listid': '315239', 'listcity': '重庆', 'jdname': '3D打印成型操作员', 'workexp': '无经验', 'jd3rdlevel': '普工/操作工', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CC651438830J40082053414'}}, 'recommendReason': None, 'type': 30}}",False,计算机软件,0,0,40082053414,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,3D打印成型操作员,[],CC651438830J40082053414,[],,1,1,,http://jobs.zhaopin.com/CC651438830J40082053414.htm,http://jobs.zhaopin.com/CC651438830J40082053414.htm,股份制企业,False,2022-07-19 00:12:25,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,3千-6千,,3001-6000,1,"[{'state': 0, 'value': '快速成型，钳工'}, {'state': 0, 'value': '手办'}, {'state': 0, 'value': '手工'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力资源', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1078744445, 'lastOnlineTime': 1658535412564, 'staffName': '晏先生'}",50010713,谢家湾街道,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '五险'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '项目奖金'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '节日福利'}]",重庆,全职,无经验,False,False,368e1a17-5559-41a9-a08a-b65a596df0e0
1,False,False,1,渝北区,551,13148615,https://storage-public.zhaopin.cn/org/logo/1631169151119635222/sf%20logo-01.jpg,顺丰速运,CZ131486150,13148615,"['已上市', '最佳雇主']",10000人以上,http://company.zhaopin.com/CZ131486150.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《送餐员·高投递榜》', 'reportData': {'listid': '314027', 'listcity': '重庆', 'jdname': '8-12K高薪骑手就近分配提供住宿', 'workexp': '不限', 'jd3rdlevel': '送餐员', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CC131486150J40334221514'}}, 'recommendReason': None, 'type': 30}}",False,货运/物流仓储,0,0,40334221514,,"{'icon': '', 'matched': 0, 'tagState': 0}",1003,8-12K高薪骑手就近分配提供住宿,[],CC131486150J40334221514,[],,1,1,,http://jobs.zhaopin.com/CC131486150J40334221514.htm,http://jobs.zhaopin.com/CC131486150J40334221514.htm,上市公司,False,2022-07-23 00:15:56,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,8千-1.2万,,8001-12000,1,"[{'state': 0, 'value': '电动车驾驶'}, {'state': 0, 'value': '公司提供电动车'}, {'state': 0, 'value': '美团'}, {'state': 0, 'value': '饿了么'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '意外险'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1138503660, 'lastOnlineTime': 1658512702307, 'staffName': '宋清清'}",50011222,仙桃街道,2000400050000,送餐员,,,0,"[{'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '股票期权'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '五险一金'}]",重庆,全职,不限,False,False,dfe68580-9845-4ba7-97cd-7a5b18054a65
1,False,False,1,渝北区,551,66186312,https://rd5-public.zhaopin.cn/imgs/company/e37bf01943003abdd648e096416268f6.png,美村科技,CZ661863120,66186312,[],100-299人,http://special.zhaopin.com/pagepublish/66186312/index.html,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '短期三个月全职实习，提供实习证明'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网,3,0,40280592807,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,电商客服,[],CC661863120J40280592807,[],短期三个月全职实习，提供实习证明,1,1,,http://jobs.zhaopin.com/CC661863120J40280592807.htm,http://jobs.zhaopin.com/CC661863120J40280592807.htm,民营,True,2022-07-22 00:13:14,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,90-100/天,,90-100,2,"[{'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '普通话标准流利'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1583839845948679084/5a664e16-5b2f-4c8a-8708-ed06ef8568dc.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 660551905, 'lastOnlineTime': 1658549760846, 'staffName': '聚土网'}",50011212,康美街道,13000100190000,网络客服,,,6,"[{'state': 0, 'value': '节日福利'}]",重庆,实习,无经验,False,False,787c120b-e158-4cbe-babe-5691a6c448e0
1,False,False,0,沙坪坝区,551,31018848,https://rd5-public.zhaopin.cn/imgs/company/21a5e24de03e6042390afa041b629414.png,融创物业,CZ310188480,31018848,['最佳雇主'],10000人以上,http://company.zhaopin.com/CZ310188480.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,物业服务,0,0,40236533912,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,监控岗4.3-5.3K-大学城,[],CC310188480J40236533912,[],,0,1,,http://jobs.zhaopin.com/CC310188480J40236533912.htm,http://jobs.zhaopin.com/CC310188480J40236533912.htm,上市公司,False,2022-07-22 00:15:44,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,4千-5千,13薪,4001-5000,1,"[{'state': 0, 'value': '包住'}, {'state': 0, 'value': '年终奖'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '免费工装'}, {'state': 0, 'value': '宿舍有空调'}, {'state': 0, 'value': '五险'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1117180153, 'lastOnlineTime': 1658484664410, 'staffName': '陈菊'}",50010610,土主街道,6000100010000,地铁安检,,,0,"[{'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '项目奖金'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '试用期全额'}]",重庆,全职,不限,False,False,d19f1ada-6daf-45fd-8e2b-ca3b3d3100a1
1,False,False,1,,551,27831841,https://storage-public.zhaopin.cn/user/avatar/1611311149871779449/1.jpg,重庆平洋工贸有限公司,CZ278318410,27831841,[],500-999人,http://company.zhaopin.com/P2/CC2783/1841/CC278318414.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《储备干部·最新发布职位榜》', 'reportData': {'listid': '729758', 'listcity': '重庆', 'jdname': '储备干部', 'workexp': '无经验', 'jd3rdlevel': '储备干部', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC278318414J00540763002'}}, 'recommendReason': None, 'type': 30}}",False,贸易/进出口代理,0,0,540763002,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,储备干部,[],CC278318414J00540763002,[],,1,1,,http://jobs.zhaopin.com/CC278318414J00540763002.htm,http://jobs.zhaopin.com/CC278318414J00540763002.htm,民营,False,2022-07-18 11:59:36,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,4千-5千,13薪,4001-5000,1,"[{'state': 0, 'value': '综合素质'}, {'state': 0, 'value': '学习能力'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1047855268, 'lastOnlineTime': 1658568396464, 'staffName': '鲍桂芹'}",50010510,鱼嘴镇,8000100010000,储备干部,,,0,"[{'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '免费班车'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '年终奖'}]",重庆,全职,无经验,False,False,8e206652-0efd-430d-b2bd-5c792efc5c21
1,True,False,1,渝北区,551,123297947,https://storage-public.zhaopin.cn/user/avatar/1594981758108616296/1d02684fca4277cd2f369e392dc69c3.jpg,四川佰锋达人力资源服务有限公司,CZL1232979470,123297947,[],500-999人,http://company.zhaopin.com/CZL1232979470.htm,,0,,初中及以下,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '包吃住，报销路费'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,2,0,40315745603,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,260/天核酸试剂贴标签,[],CCL1232979470J40315745603,[],包吃住，报销路费,1,1,,http://jobs.zhaopin.com/CCL1232979470J40315745603.htm,http://jobs.zhaopin.com/CCL1232979470J40315745603.htm,民营,True,2022-07-22 15:53:49,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,240-260/天,,240-260,2,"[{'state': 0, 'value': '分拣工'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/a2f69ad57fa849b990079f440167d3b0/43f6963db8b4380c42b457e4ba12960.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1137304223, 'lastOnlineTime': 1658628900663, 'staffName': '张嵋'}",50011208,双凤桥街道,15000100270000,普工/操作工,,,6,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '加班补助'}]",重庆,实习,无经验,False,False,44f82078-32eb-4e7e-993c-55ecf52baa1f
1,False,False,1,,551,19720482,,重庆伟迪捷喷码机制造有限公司,CZ197204820,19720482,[],20-99人,http://company.zhaopin.com/CZ197204820.htm,,0,,高中,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,仪器仪表制造,0,0,40286646804,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,装配工程师,[],CC197204820J40286646804,[],,1,1,,http://jobs.zhaopin.com/CC197204820J40286646804.htm,http://jobs.zhaopin.com/CC197204820J40286646804.htm,民营,False,2022-07-18 12:23:15,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-8千,13薪,4001-8000,1,"[{'state': 0, 'value': '装配工艺'}, {'state': 0, 'value': '电气机械制造'}, {'state': 0, 'value': '仪器仪表'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 203917635, 'lastOnlineTime': 1658628594963, 'staffName': '张洪'}",50011202,人和街道,15000300580000,装配工程师,,,0,[],重庆,全职,无经验,False,False,a2eecd18-84ff-4834-a240-f343e196c2cd
1,False,False,1,永川区,551,62902653,https://fileihr.zhaopin.com/062/902/062902653/logo/adf288fe-6cfe-4873-8a3d-ba58f8d00aa6.jpg,上海梅凌,CZ629026530,62902653,[],1000-9999人,http://company.zhaopin.com/CZ629026530.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《管培生/培训生·高投递榜》', 'reportData': {'listid': '462644', 'listcity': '重庆', 'jdname': '生产管培生（永川三教）', 'workexp': '无经验', 'jd3rdlevel': '管培生/培训生', 'bizid': '300171', 'worktype': '全职', 'jdno': 'CC629026530J40265030402'}}, 'recommendReason': None, 'type': 30}}",False,快速消费品,0,0,40265030402,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,生产管培生（永川三教）,[],CC629026530J40265030402,[],,1,1,,http://jobs.zhaopin.com/CC629026530J40265030402.htm,http://jobs.zhaopin.com/CC629026530J40265030402.htm,民营,False,2022-07-09 17:07:16,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",6,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '生产方向'}, {'state': 0, 'value': '运营方向'}, {'state': 0, 'value': '食品研发方向'}, {'state': 0, 'value': '职能方向'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HRM', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1128502855, 'lastOnlineTime': 1658573746406, 'staffName': '袁霞'}",50011820,中山路街道,8000100030000,管培生/培训生,,,0,"[{'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}]",重庆,全职,无经验,False,False,be367134-1abb-4961-a243-09234718ebc4
1,False,False,1,江北区,551,31584711,http://campusimage.zhaopin.com/pic/cimg/Company/Logo/31584711/203090450398_136x136.jpg,京北方,CZ315847110,31584711,"['已上市', '最佳雇主']",10000人以上,http://company.zhaopin.com/CZ315847110.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '上市公司  氛围好，福利待遇佳'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,IT服务,0,0,40311455607,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,急聘！朝九晚六行政班接听客服/五险一金/餐补,[],CC315847110J40311455607,[],上市公司  氛围好，福利待遇佳,1,1,,http://jobs.zhaopin.com/CC315847110J40311455607.htm,http://jobs.zhaopin.com/CC315847110J40311455607.htm,民营,False,2022-07-05 14:31:05,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",30,,False,False,False,4千-5千,,4001-5000,1,"[{'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '同产品领域经验'}, {'state': 0, 'value': '普通话标准流利'}, {'state': 0, 'value': '危机客诉处理经验'}, {'state': 0, 'value': '无销售性质'}, {'state': 0, 'value': '电话客服'}, {'state': 0, 'value': '英语可作为工作语言'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/c7522fb3aeeb449a8091153e57b1787c/18cd8942078d36cbaba3324ac50b299.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1124973591, 'lastOnlineTime': 1658625482669, 'staffName': '元先生'}",50010505,江北城街道,13000100100000,客服专员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '餐补'}]",重庆,全职,1-3年,False,False,e31638c9-198b-4606-ae2c-cafeabee8e1a
