applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,谯城区,678,126823052,https://storage-public.zhaopin.cn/org/logo/1652942516026274368/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220519143413.jpg,缘新诺企业管理服务,CZL1268230520,126823052,[],1000-9999人,http://company.zhaopin.com/CZL1268230520.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '夫妻房、五险一金、晋升空间大、带薪休假'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40310610906,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,亳州央企质检员350一天朝九晚六,[],CCL1268230520J40310610906,[],夫妻房、五险一金、晋升空间大、带薪休假,1,1,,http://jobs.zhaopin.com/CCL1268230520J40310610906.htm,http://jobs.zhaopin.com/CCL1268230520J40310610906.htm,股份制企业,False,2022-07-24 16:15:56,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",100,,False,False,False,8千-1万,,8001-10000,1,"[{'state': 0, 'value': '组装工'}, {'state': 0, 'value': '质检员'}, {'state': 0, 'value': '包边工'}, {'state': 0, 'value': '分拣工'}, {'state': 0, 'value': '包装印刷工'}, {'state': 0, 'value': '检验员'}, {'state': 0, 'value': '仓管员'}, {'state': 0, 'value': '搬运装卸工'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事总理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1141457928, 'lastOnlineTime': 1658668166390, 'staffName': '李先生'}",34160206,亳州市经济技术开发区,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '住房补贴'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '年底双薪'}]",亳州,全职,不限,False,False,7682da3a-1301-47d0-9c65-ec8e7b931894
1,False,False,1,谯城区,678,18490372,http://campusimage.zhaopin.com/pic/cimg/Company/A//200410190213_100x100.jpg,五得利,CZ184903720,18490372,[],1000-9999人,http://company.zhaopin.com/%E4%BA%94%E5%BE%97%E5%88%A9%E9%9D%A2%E7%B2%89%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC184903726.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '工资高'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,农/林/牧/渔,0,0,40319405007,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,小包装工,[],CC184903720J40319405007,[],工资高,1,1,,http://jobs.zhaopin.com/CC184903720J40319405007.htm,http://jobs.zhaopin.com/CC184903720J40319405007.htm,民营,False,2022-07-21 16:10:54,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-1万,,5001-10000,1,"[{'state': 0, 'value': '全职'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/67ece65dc9ff4fd1b867fe51deb2c1e6/%E4%BA%B3%E5%B7%9E%E5%85%AC%E5%8F%B8%E9%B8%9F%E7%9E%B0%E5%9B%BE2.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事主管', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 677318179, 'lastOnlineTime': 1658649294773, 'staffName': '王彦峰'}",34160201,安徽亳州工业园区,15000100030000,包装工,,,0,"[{'state': 0, 'value': '包住'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '免费停车'}]",亳州,全职,不限,False,False,73b1cc08-090b-49c4-be88-31f075b3e9f6
1,False,False,1,谯城区,678,137706166,https://storage-public.zhaopin.cn/org/logo/1655805045646377130/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220621175025.jpg,成都尽如所期文化传媒有限责任公司,CZL1377061660,137706166,[],100-299人,http://company.zhaopin.com/CZL1377061660.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '在家上班，收益周结，岗前培训，不收费用'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,新媒体,0,0,40307331405,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,在家语音专员,[],CCL1377061660J40307331405,[],在家上班，收益周结，岗前培训，不收费用,1,1,,http://jobs.zhaopin.com/CCL1377061660J40307331405.htm,http://jobs.zhaopin.com/CCL1377061660J40307331405.htm,其它,False,2022-07-08 16:50:56,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",100,,False,False,False,5千-9千,,5001-9000,1,"[{'state': 0, 'value': '在家上班'}, {'state': 0, 'value': '收益周结'}, {'state': 0, 'value': '不收费用'}, {'state': 0, 'value': '岗前培训'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/4dabf15d0e1f4abf843353b41eaa91c8/5c2f4ab07111f819dcbc05ed201d3480.jpeg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘主管', 'hrOnlineIocState': 1, 'hrOnlineState': '当前在线', 'id': 1140931730, 'lastOnlineTime': 1658669792249, 'staffName': '李女士'}",34160205,薛阁街道,13000100100000,客服专员,,,0,[],亳州,全职,不限,False,False,f6312c1e-7e57-4422-91ed-21848b0c0230
1,False,False,1,谯城区,678,126789180,https://storage-public.zhaopin.cn/org/logo/1639529516165565556/1.png,芊荷(安徽)健康产业发展有限公司,CZL1267891800,126789180,[],300-499人,http://company.zhaopin.com/CZL1267891800.htm,,0,,高中,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,农副产品加工制造,0,0,40315961703,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,销售总监,[],CCL1267891800J40315961703,[],,1,1,,http://jobs.zhaopin.com/CCL1267891800J40315961703.htm,http://jobs.zhaopin.com/CCL1267891800J40315961703.htm,民营,False,2022-07-23 11:43:40,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,4千-8千,,4001-8000,1,"[{'state': 0, 'value': '食品/饮料'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1121625110, 'lastOnlineTime': 1658654977135, 'staffName': '杨妮娜'}",34160223,赵桥乡,19000300040000,销售总监,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '包吃'}]",亳州,全职,1-3年,False,False,d8ddb145-b327-4ddb-b056-abb4e756ad72
1,False,False,1,谯城区,678,141860460,https://storage-public.zhaopin.cn/org/logo/1654656713799724090/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220608105136.jpg,苏州世祥人力资源有限公司,CZL1418604600,141860460,[],20-99人,http://company.zhaopin.com/CZL1418604600.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '待遇好     工资高'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40312921512,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,聘办公室招聘专员,[],CCL1418604600J40312921512,[],待遇好     工资高,1,1,,http://jobs.zhaopin.com/CCL1418604600J40312921512.htm,http://jobs.zhaopin.com/CCL1418604600J40312921512.htm,其它,False,2022-07-19 11:40:15,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,9千-1.5万,,9001-15000,1,"[{'state': 0, 'value': '社会招聘'}, {'state': 0, 'value': '校园招聘'}, {'state': 0, 'value': '网络招聘'}, {'state': 0, 'value': '现场招聘'}, {'state': 0, 'value': '内部招聘'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1654657597018434133/4CUcUp0DNRMuNdnl9A616E888574BC1F38476F0FC73B4D14.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '董事长', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1136523097, 'lastOnlineTime': 1658638326600, 'staffName': '张先生'}",34160205,薛阁街道,14000600160000,招聘专员/助理,,,0,"[{'state': 0, 'value': '包住'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '创业公司'}]",亳州,全职,不限,False,False,96e61622-3801-43ab-8ef1-93bb1ed4d337
1,False,False,1,谯城区,678,126823052,https://storage-public.zhaopin.cn/org/logo/1652942516026274368/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220519143413.jpg,缘新诺企业管理服务,CZL1268230520,126823052,[],1000-9999人,http://company.zhaopin.com/CZL1268230520.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '不穿不看厂内住宿可预支手工活'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40303185906,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,小厂298/天长白班可带手机,[],CCL1268230520J40303185906,[],不穿不看厂内住宿可预支手工活,1,1,,http://jobs.zhaopin.com/CCL1268230520J40303185906.htm,http://jobs.zhaopin.com/CCL1268230520J40303185906.htm,股份制企业,False,2022-07-24 10:32:11,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",50,,False,False,False,7千-9千,,7001-9000,1,"[{'state': 0, 'value': '包装'}, {'state': 0, 'value': '贴标签'}, {'state': 0, 'value': '扫码'}, {'state': 0, 'value': '物料'}, {'state': 0, 'value': '质检'}, {'state': 0, 'value': '仓管员'}, {'state': 0, 'value': '检验员'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1656660449732108434/a1ba718a-5da2-4b4d-9369-2c8452c160c1.jpeg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1141458223, 'lastOnlineTime': 1658662538273, 'staffName': '周先生'}",34160206,亳州市经济技术开发区,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '交通补助'}]",亳州,全职,不限,False,False,38dab8d9-f473-4328-a249-7a95f19ae69a
1,False,False,1,,678,24007481,https://storage-public.zhaopin.cn/CompanyLogo/20150915/6BF00A07AAB04435873D9D0D81426B54.jpg,安徽济人药业股份有限公司,CZ240074810,24007481,[],1000-9999人,https://special.zhaopin.com/Flying/pagepublish/24007481/index.html,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,医药制造,0,0,40234568410,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,财务会计专员,[],CC240074810J40234568410,[],,1,1,,http://jobs.zhaopin.com/CC240074810J40234568410.htm,http://jobs.zhaopin.com/CC240074810J40234568410.htm,民营,False,2022-07-11 18:47:35,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-5千,,4001-5000,1,"[{'state': 0, 'value': '会计初级职称'}, {'state': 0, 'value': '会计从业资格证'}, {'state': 0, 'value': '财务'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/0428ff1443a1448e89ca433d34d6597f/0001.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1108421913, 'lastOnlineTime': 1658649784476, 'staffName': '王岩岩'}",34160201,安徽亳州工业园区,14000100230000,会计,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '每年多次调薪'}]",亳州,全职,不限,False,False,1d6496cd-9805-4371-95cc-0c25c693900f
1,False,False,1,谯城区,678,139200805,,深圳市亿生新信息科技有限公司,CZL1392008050,139200805,[],20人以下,http://company.zhaopin.com/CZL1392008050.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,互联网,0,0,40290478508,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,信息数据统计员,[],CCL1392008050J40290478508,[],,1,1,,http://jobs.zhaopin.com/CCL1392008050J40290478508.htm,http://jobs.zhaopin.com/CCL1392008050J40290478508.htm,民营,False,2022-06-24 18:04:02,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,7千-1万,,7001-10000,1,"[{'state': 0, 'value': 'SPSS'}, {'state': 0, 'value': 'R'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1135960499, 'lastOnlineTime': 1658666544406, 'staffName': '曾圆虹'}",34160205,薛阁街道,9000400070000,数据分析师,,,0,[],亳州,全职,不限,False,False,e8e808e5-7b89-46f0-9a4b-867adf806f2f
1,False,False,1,谯城区,678,126789180,https://storage-public.zhaopin.cn/org/logo/1639529516165565556/1.png,芊荷(安徽)健康产业发展有限公司,CZL1267891800,126789180,[],300-499人,http://company.zhaopin.com/CZL1267891800.htm,,0,,高中,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,农副产品加工制造,0,0,40315957803,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,行政总监,[],CCL1267891800J40315957803,[],,1,1,,http://jobs.zhaopin.com/CCL1267891800J40315957803.htm,http://jobs.zhaopin.com/CCL1267891800J40315957803.htm,民营,False,2022-07-23 11:31:09,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,4千-8千,,4001-8000,1,"[{'state': 0, 'value': '人力经验'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1121625110, 'lastOnlineTime': 1658654977135, 'staffName': '杨妮娜'}",34160223,赵桥乡,14000400040000,行政总监,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '包吃'}]",亳州,全职,1-3年,False,False,78d7efa3-1789-406a-b694-b4ef9f433cfc
1,False,False,1,利辛县,678,18076082,https://storage-public.zhaopin.cn/CompanyLogo/20160108/85E32538F4E24D8F9DAA063E86593797.jpg,双胞胎集团,CZ180760820,18076082,"['中国500强', '优选雇主']",10000人以上,http://special.zhaopin.com/pagepublish/18076082/index.html,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,农/林/牧/渔,0,0,40323398208,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,养户管理员,[],CC180760820J40323398208,[],,1,1,,http://jobs.zhaopin.com/CC180760820J40323398208.htm,http://jobs.zhaopin.com/CC180760820J40323398208.htm,民营,False,2022-07-23 15:49:06,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-8千,13薪,6001-8000,1,"[{'state': 0, 'value': '猪类'}, {'state': 0, 'value': '动物医疗'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1140554316, 'lastOnlineTime': 1658668573399, 'staffName': '张浩东'}",34162305,汝集镇,6001300040000,动物育种/养殖,,,0,[],亳州,全职,1年以下,False,False,adf232e3-698a-4b9e-9169-df322e11ae0c
