applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,,681,36244122,,福州市台江区金太阳艺术培训学校,CZ362441220,36244122,[],100-299人,http://special.zhaopin.com/pagepublish/36244122/index.html,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《电话销售·最新发布职位榜》', 'reportData': {'listid': '557068', 'listcity': '福州', 'jdname': '暑期兼职', 'workexp': '无经验', 'jd3rdlevel': '电话销售', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC362441220J40311192009'}}, 'recommendReason': None, 'type': 30}}",False,培训/课外教育/教育辅助,0,0,40311192009,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,暑期兼职,[],CC362441220J40311192009,[],,1,1,,http://jobs.zhaopin.com/CC362441220J40311192009.htm,http://jobs.zhaopin.com/CC362441220J40311192009.htm,民营,False,2022-07-08 15:39:51,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-5千,,4001-5000,1,"[{'state': 0, 'value': '销售专员'}, {'state': 0, 'value': '个人客户（2C）'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/bapp/weex/1657264878924347832/3e5be406-6fd6-4070-9f65-fa055a32768b.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '营销主管', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1142174451, 'lastOnlineTime': 1658651338159, 'staffName': '林斌'}",35010308,上海街道,19000200030000,电话销售,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '项目奖金'}, {'state': 0, 'value': '带团队'}, {'state': 0, 'value': '大牛带队'}]",福州,全职,无经验,False,False,e29d1f1b-97e4-49d9-a475-ecd8ad641c6c
1,False,False,1,仓山区,681,137421006,https://storage-public.zhaopin.cn/org/logo/1635918124149297860/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20211103134144.jpg,福州锦颐人力资源管理有限公司,CZL1374210060,137421006,[],500-999人,http://company.zhaopin.com/CZL1374210060.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '不穿无尘服，不考试，不体检，'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40248156202,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,仓山金山包吃住,[],CCL1374210060J40248156202,[],不穿无尘服，不考试，不体检，,1,1,,http://jobs.zhaopin.com/CCL1374210060J40248156202.htm,http://jobs.zhaopin.com/CCL1374210060J40248156202.htm,民营,False,2022-07-21 00:11:07,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",22,,False,False,False,6千-7千,,6001-7000,1,"[{'state': 0, 'value': '普工'}, {'state': 0, 'value': '组装'}, {'state': 0, 'value': '操作'}, {'state': 0, 'value': '检查'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1644213306436211133/wvJJg7xSpD0DPgw8030856BE5F36D5602E821B90B556C2F5.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '总经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1117680247, 'lastOnlineTime': 1658652740392, 'staffName': '林禹'}",35010406,建新镇,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}]",福州,全职,无经验,False,False,c3bf216f-8a5b-4ccb-a93e-c8ebd5737642
1,False,False,1,鼓楼区,681,9381,https://storage-public.zhaopin.cn/CompanyLogo/20170705/4EA391E924F99197ECF8E5075ED35983.jpg,爱玛客服务产业（中国）有限公司,CZ000093810,9381,[],10000人以上,http://company.zhaopin.com/P2/CC0000/9381/CC000093813.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,餐饮业,0,0,40299512413,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,夜班调度员,[],CC000093810J40299512413,[],,1,1,,http://jobs.zhaopin.com/CC000093810J40299512413.htm,http://jobs.zhaopin.com/CC000093810J40299512413.htm,外商独资,False,2022-07-14 16:58:45,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-6千,,5001-6000,1,"[{'state': 0, 'value': '物业服务'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HRBP', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1054336328, 'lastOnlineTime': 1658484791283, 'staffName': '洪先生'}",35010201,安泰街道,2000500070000,调度员,,,0,"[{'state': 0, 'value': '节日福利'}]",福州,全职,1-3年,False,False,76fd520c-cba8-4dfb-95fd-c58e728b85c0
1,False,False,1,闽侯县,681,136524442,,易乎教育咨询(山东)有限公司,CZL1365244420,136524442,[],20-99人,http://company.zhaopin.com/CZL1365244420.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '自由接单，无需坐班， 远程工作'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,在线教育,0,0,40197027912,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,大学生兼辅导家教教员,[],CCL1365244420J40197027912,[],自由接单，无需坐班， 远程工作,1,1,,http://jobs.zhaopin.com/CCL1365244420J40197027912.htm,http://jobs.zhaopin.com/CCL1365244420J40197027912.htm,民营,False,2022-07-22 12:29:13,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,6千-1.2万,,6001-12000,1,"[{'state': 0, 'value': '线上教育'}, {'state': 0, 'value': '授课老师'}, {'state': 0, 'value': '助教'}, {'state': 0, 'value': '教研'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1113495036, 'lastOnlineTime': 1658656316891, 'staffName': '朱先生'}",35012115,上街镇,10000400020000,大学教师,,,0,"[{'state': 0, 'value': '无试用期'}]",福州,校园,无经验,False,False,8f6043d4-995c-40e8-894e-982bddd5a0f0
1,False,False,1,台江区,681,130445664,https://storage-public.zhaopin.cn/org/logo/1652771222366258014/WPS%E5%9B%BE%E7%89%87-%E4%BF%AE%E6%94%B9%E5%B0%BA%E5%AF%B8.jpg,聪未来(福建)发展有限公司,CZL1304456640,130445664,[],20-99人,http://company.zhaopin.com/CZL1304456640.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,贸易/进出口代理,0,0,40312836208,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,分拣员,[],CCL1304456640J40312836208,[],,1,1,,http://jobs.zhaopin.com/CCL1304456640J40312836208.htm,http://jobs.zhaopin.com/CCL1304456640J40312836208.htm,民营,False,2022-07-21 23:57:29,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,3千-6千,,3001-6000,1,"[{'state': 0, 'value': '全职兼职均可'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1140536398, 'lastOnlineTime': 1658652022948, 'staffName': '苏女士'}",35010302,瀛洲街道,2000400030000,配/理/拣/发货,,,0,"[{'state': 0, 'value': '每年多次调薪'}, {'state': 0, 'value': '全勤奖'}]",福州,全职,无经验,False,False,1b671047-864e-4433-a591-61bdee3a4793
1,False,False,1,台江区,681,12022026,https://storage-public.zhaopin.cn/user/avatar/1609841542731612433/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210105180534.png,文思海辉技术有限公司 Pactera Technology International Limited,CZ120220260,12022026,[],10000人以上,http://company.zhaopin.com/CZ120220260.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,IT服务,6,0,40311301212,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,运维实施23届毕业学生（北京、兰州、沈阳、福州）,[],CC120220260J40311301212,[],,0,1,,http://jobs.zhaopin.com/CC120220260J40311301212.htm,http://jobs.zhaopin.com/CC120220260J40311301212.htm,国企,False,2022-07-15 09:52:05,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",6,,False,False,False,500-600/天,,500-600,2,"[{'state': 0, 'value': '售后支持'}, {'state': 0, 'value': '实施工程师/顾问'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1052513792, 'lastOnlineTime': 1658576339994, 'staffName': '安旭'}",35010307,后洲街道,13000200130000,实施工程师,,,5,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '双休'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '周末双休'}]",福州,实习,无经验,False,False,77054340-5e11-48aa-bd21-9009e47609c0
1,False,False,1,台江区,681,128936151,https://storage-public.zhaopin.cn/org/logo/1653299281850885987/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220523174758.png,深圳南区人瑞人力资源服务有限公司,CZL1289361510,128936151,[],10000人以上,http://company.zhaopin.com/CZL1289361510.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '年终奖+五险一金+包三餐+房补'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,企业服务,0,0,40320747401,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,【字节正编】审核内容质量主管（15-18薪+房补）,[],CCL1289361510J40320747401,[],年终奖+五险一金+包三餐+房补,1,1,,http://jobs.zhaopin.com/CCL1289361510J40320747401.htm,http://jobs.zhaopin.com/CCL1289361510J40320747401.htm,上市公司,False,2022-07-13 17:38:01,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,8千-1.3万,15薪,8001-13000,1,"[{'state': 0, 'value': '合规审核'}, {'state': 0, 'value': '审核部门主管'}, {'state': 0, 'value': '团队管理'}, {'state': 0, 'value': '数据分析'}, {'state': 0, 'value': '轮班'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1648435793822258410/FLgiIw1I9U86cdFc389F2FABF02802FB61084BBEE460EE7E.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '运营总监', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1131594138, 'lastOnlineTime': 1658643900179, 'staffName': '江丽莲'}",35010309,宁化街道,5000200010000,内容审核,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '14薪'}]",福州,全职,1-3年,False,False,b9e628a2-f71b-4a6d-99d0-00932483903d
1,False,False,1,晋安区,681,53476372,https://storage-public.zhaopin.cn/org/logo/1647828676065666354/4c04e7e9d3ad1b03aa3588d6d141e56.png,维度信息技术(苏州)有限公司,CZ534763720,53476372,[],10000人以上,http://company.zhaopin.com/CC534763724.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《收银·最新发布职位榜》', 'reportData': {'listid': '683200', 'listcity': '福州', 'jdname': '驻点医院结算（省妇产）', 'workexp': '不限', 'jd3rdlevel': '收银', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC534763720J40134130211'}}, 'recommendReason': None, 'type': 30}}",False,专业技术服务,0,0,40134130211,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,驻点医院结算（省妇产）,[],CC534763720J40134130211,[],,1,1,,http://jobs.zhaopin.com/CC534763720J40134130211.htm,http://jobs.zhaopin.com/CC534763720J40134130211.htm,民营,False,2022-07-19 10:41:46,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,3千-4千,,3001-4000,1,"[{'state': 0, 'value': '超市收银'}, {'state': 0, 'value': '商场收银'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '免费培训'}, {'state': 0, 'value': '过节福利'}, {'state': 0, 'value': '酒店收银'}, {'state': 0, 'value': '全职'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1101554718, 'lastOnlineTime': 1658644004665, 'staffName': '李女士'}",35011109,新店镇,6000500090000,收银,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}]",福州,全职,不限,False,False,bf58a3ef-e1a0-4669-999c-60a355747f8d
1,False,False,1,鼓楼区,681,54446,https://storage-public.zhaopin.cn/CompanyLogo/20100208/9DB043DFA2554A39A7B374C716F1B9B6.jpg,软通动力信息技术(集团)股份有限公司,CZ000544460,54446,['最佳雇主'],10000人以上,https://company.zhaopin.com/CZ000544460.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《产品专员·最新发布职位榜》', 'reportData': {'listid': '559492', 'listcity': '福州', 'jdname': '产品支撑', 'workexp': '1-3年', 'jd3rdlevel': '产品专员', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC000544460J40319773616'}}, 'recommendReason': None, 'type': 30}}",False,互联网,0,0,40319773616,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,产品支撑,[],CC000544460J40319773616,[],,1,1,,http://jobs.zhaopin.com/CC000544460J40319773616.htm,http://jobs.zhaopin.com/CC000544460J40319773616.htm,民营,False,2022-07-22 15:17:25,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-8千,,5001-8000,1,"[{'state': 0, 'value': '需求收集'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/ef57df09135143c380fb2eb6d0f9e4f5/7fad7e8cfaba0e2cd362b7d59bb6282.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘顾问', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1111812441, 'lastOnlineTime': 1658482210048, 'staffName': '冷光艳'}",35010207,鼓东街道,3000100050000,产品专员,,鼓东,0,[],福州,全职,1-3年,False,False,ba52eb47-ed55-4c57-8580-4adc4b577b7f
1,False,False,1,,681,15763322,https://storage-public.zhaopin.cn/user/avatar/1610346207446833330/d0f4b7d6fb34011e35f88c016294a248_logo.png,福建卓越建设集团有限公司,CZ157633220,15763322,[],100-299人,http://company.zhaopin.com/CZ157633220.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《行政专员/助理·最新发布职位榜》', 'reportData': {'listid': '557418', 'listcity': '福州', 'jdname': '行政文员', 'workexp': '无经验', 'jd3rdlevel': '行政专员/助理', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC157633220J40276870701'}}, 'recommendReason': None, 'type': 30}}",False,房地产开发与经营,0,0,40276870701,,"{'icon': '', 'matched': 0, 'tagState': 0}",1003,行政文员,[],CC157633220J40276870701,[],,1,1,,http://jobs.zhaopin.com/CC157633220J40276870701.htm,http://jobs.zhaopin.com/CC157633220J40276870701.htm,民营,False,2022-07-21 00:18:41,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-7千,,5001-7000,1,"[{'state': 0, 'value': '秘书'}, {'state': 0, 'value': '后勤管理'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事主管', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1105503962, 'lastOnlineTime': 1658544247089, 'staffName': '刘女士'}",35010202,温泉街道,14000400030000,行政专员/助理,,,0,"[{'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '五险'}]",福州,全职,无经验,False,False,0ecf39f8-393c-4b35-9350-af3e92ab9630
1,False,False,1,鼓楼区,681,121954923,https://storage-public.zhaopin.cn/user/avatar/1607403869821761179/26848d65-5129-4bcb-8eeb-ca6834e30dce.jpg,珠海下一站文化传媒有限公司,CZL1219549230,121954923,[],10000人以上,http://company.zhaopin.com/CZL1219549230.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '大平台 高提成 有人带 可线上'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,文化艺术/娱乐,0,0,40302745913,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,网易云纯音频娱乐主播（可线上）,[],CCL1219549230J40302745913,[],大平台 高提成 有人带 可线上,1,1,,http://jobs.zhaopin.com/CCL1219549230J40302745913.htm,http://jobs.zhaopin.com/CCL1219549230J40302745913.htm,合资,False,2022-07-21 19:37:01,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",999,,False,False,False,1.2万-2.4万,,12001-24000,1,"[{'state': 0, 'value': '才艺主播'}, {'state': 0, 'value': '网易云'}, {'state': 0, 'value': '不露脸'}, {'state': 0, 'value': '情感主播'}, {'state': 0, 'value': '电台主播'}, {'state': 0, 'value': '声音主播'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/bapp/weex/1649406211395350412/874fa57a-f30a-4525-bb67-9f45cf09616a.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '运营', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1133084923, 'lastOnlineTime': 1658646437636, 'staffName': '杨若鹏'}",35010210,洪山镇,4000200050000,主播,,,0,"[{'state': 0, 'value': '大牛带队'}, {'state': 0, 'value': '扶持多'}, {'state': 0, 'value': '定期培训'}, {'state': 0, 'value': '生态好'}]",福州,兼职/临时,不限,False,False,cd64f974-ad23-454d-b888-a1e1c72dc0f8
