applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,市南区,703,13428619,http://campusimage.zhaopin.com/pic/cimg/Company/Logo/13428619/11756439632_136x136.jpg,青岛双星名人集团股份有限公司,CZ134286190,13428619,[],10000人以上,http://company.zhaopin.com/CZ134286190.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《服装/纺织设计·最新发布职位榜》', 'reportData': {'listid': '689906', 'listcity': '青岛', 'jdname': '服装设计助理', 'workexp': '不限', 'jd3rdlevel': '服装/纺织设计', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC134286190J40358465414'}}, 'recommendReason': None, 'type': 30}}",False,金属制品业,0,0,40358465414,,"{'icon': '', 'matched': 0, 'tagState': 0}",1002,服装设计助理,[],CC134286190J40358465414,[],,1,1,,http://jobs.zhaopin.com/CC134286190J40358465414.htm,http://jobs.zhaopin.com/CC134286190J40358465414.htm,股份制企业,False,2022-07-22 10:33:44,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '鞋子设计'}, {'state': 0, 'value': '服装面料'}, {'state': 0, 'value': '服装生产过程管理'}, {'state': 0, 'value': '男装设计'}, {'state': 0, 'value': '女装设计'}, {'state': 0, 'value': '童装设计'}, {'state': 0, 'value': '面料辅料采买'}, {'state': 0, 'value': '制定工艺文件'}]","{'authenticationState': 0, 'avatar': 'http://fecdn4.zhaopin.cn/rd/weex/assets/images/wx_2_avatar_female_1.fd96b04ea311feb39906b7380ac14817.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1076933438, 'lastOnlineTime': 1658582795815, 'staffName': '周女士'}",37020208,八大峡街道,17000300040000,服装/纺织设计,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '节日福利'}]",青岛,全职,不限,False,False,89c8df06-bc17-4691-9507-e8279c51c504
1,False,False,1,崂山区,703,44829128,,青岛君和佳业建材有限公司,CZ448291280,44829128,[],20-99人,http://company.zhaopin.com/CZ448291280.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,房地产开发与经营,0,0,40204729503,,"{'icon': '', 'matched': 0, 'tagState': 0}",1002,网络客服,[],CC448291280J40204729503,[],,1,1,,http://jobs.zhaopin.com/CC448291280J40204729503.htm,http://jobs.zhaopin.com/CC448291280J40204729503.htm,民营,False,2022-07-19 17:43:09,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,4千-7千,,4001-7000,1,"[{'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '电商客服'}, {'state': 0, 'value': '销售客服'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1124874898, 'lastOnlineTime': 1658571145046, 'staffName': '吴静静'}",37021205,金家岭街道,13000100190000,网络客服,,,0,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '弹性工作'}]",青岛,校园,无经验,False,False,b6685cb4-1d0a-4798-9d65-efee5ef39377
1,False,False,1,黄岛区,703,65761748,https://rd5-public.zhaopin.cn/imgs/company/601158fb2b8bfc9299aeca6d97a9e700.jpg,金能化学(青岛)有限公司,CZ657617480,65761748,[],10000人以上,http://company.zhaopin.com/CZ657617480.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '免费酒店式公寓、免费自助式工作餐'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,石油/石化,0,0,40288344701,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,物业管理员,[],CC657617480J40288344701,[],免费酒店式公寓、免费自助式工作餐,1,1,,http://jobs.zhaopin.com/CC657617480J40288344701.htm,http://jobs.zhaopin.com/CC657617480J40288344701.htm,股份制企业,False,2022-07-21 00:10:53,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-7千,,6001-7000,1,"[{'state': 0, 'value': '接待管理'}, {'state': 0, 'value': '后勤保障'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力资源经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1066390907, 'lastOnlineTime': 1658636662801, 'staffName': '陈红'}",37021102,琅琊镇,6000100120000,物业管理员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '免费班车'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '不加班'}]",青岛,全职,不限,False,False,e295e696-cbbe-40a5-aa8c-9207ef4d0268
1,False,False,1,即墨区,703,34202571,,青岛即东汽车零部件有限公司,CZ342025710,34202571,[],100-299人,http://company.zhaopin.com/CC342025713.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,金属制品业,0,0,40319037209,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,注塑工,[],CC342025710J40319037209,[],,1,1,,http://jobs.zhaopin.com/CC342025710J40319037209.htm,http://jobs.zhaopin.com/CC342025710J40319037209.htm,民营,False,2022-07-23 10:44:12,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '注塑操作'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/be8caf273f7b410fa844f9a6119c0768/a205fffc163196c48f83aaeb4a04598.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'hr', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 204832566, 'lastOnlineTime': 1658566363359, 'staffName': '青岛即东'}",37021504,金口镇,15000100520000,注塑工,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '免费班车'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期团建'}]",青岛,全职,无经验,False,False,c7214390-bef2-4193-8b5b-3fb10f400f7c
1,False,False,1,城阳区,703,57481132,https://fileihr.zhaopin.com/057/481/057481132/logo/cf3e79bf-e93a-489d-9ee3-53f1929b10e4.png,跨越速运,CZ574811320,57481132,[],10000人以上,http://company.zhaopin.com/CZ574811320.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《贸易跟单·最新发布职位榜》', 'reportData': {'listid': '688548', 'listcity': '青岛', 'jdname': '业务助理', 'workexp': '不限', 'jd3rdlevel': '贸易跟单', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC574811320J40311001011'}}, 'recommendReason': None, 'type': 30}}",False,货运/物流仓储,0,0,40311001011,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,业务助理,[],CC574811320J40311001011,[],,1,1,,http://jobs.zhaopin.com/CC574811320J40311001011.htm,http://jobs.zhaopin.com/CC574811320J40311001011.htm,民营,False,2022-07-21 15:45:32,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-8千,,6001-8000,1,"[{'state': 0, 'value': '物流运输'}, {'state': 0, 'value': '跟单'}, {'state': 0, 'value': '异常处理'}, {'state': 0, 'value': '大客户跟进'}, {'state': 0, 'value': '无销售性质'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '销售经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1135781524, 'lastOnlineTime': 1658572203062, 'staffName': '侯晓倩'}",37021408,流亭街道,2000100180000,贸易跟单,,,0,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '全勤奖'}]",青岛,全职,不限,False,False,587048bc-9d4d-43e4-8e09-250fd0212648
1,False,False,1,市南区,703,122576040,,青岛国合国际教育咨询服务有限公司,CZL1225760400,122576040,[],100-299人,http://company.zhaopin.com/CZL1225760400.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,企业服务,2,0,40317970316,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,编导助理,[],CCL1225760400J40317970316,[],,1,1,,http://jobs.zhaopin.com/CCL1225760400J40317970316.htm,http://jobs.zhaopin.com/CCL1225760400J40317970316.htm,民营,False,2022-07-19 14:14:13,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,100-110/天,,100-110,2,"[{'state': 0, 'value': '文案撰写'}, {'state': 0, 'value': '纪录片编导'}, {'state': 0, 'value': '传媒'}, {'state': 0, 'value': '脚本'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/2ed5e77906cb499bb473f5b8f53dbe57/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210309143347.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1056063177, 'lastOnlineTime': 1658540589166, 'staffName': 'HR'}",37020206,湛山街道,4000300010000,编导,,,5,"[{'state': 0, 'value': '周末双休'}]",青岛,实习,无经验,False,False,b9e011ef-7855-4240-9d2c-6694e1757722
1,False,False,1,崂山区,703,57362,https://rd5-public.zhaopin.cn/imgs/company/20284561311b34e0a90012c2122e916b.png,远洋控股集团(中国)有限公司,CZ000573620,57362,[],10000人以上,http://company.zhaopin.com/CZ000573620.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《物业维修·最新发布职位榜》', 'reportData': {'listid': '692846', 'listcity': '青岛', 'jdname': '房修工程师', 'workexp': '不限', 'jd3rdlevel': '物业维修', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC000573620J40009184913'}}, 'recommendReason': None, 'type': 30}}",False,房地产开发与经营,0,0,40009184913,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,房修工程师,[],CC000573620J40009184913,[],,1,1,,http://jobs.zhaopin.com/CC000573620J40009184913.htm,http://jobs.zhaopin.com/CC000573620J40009184913.htm,上市公司,False,2022-07-23 00:34:00,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,6千-8千,,6001-8000,1,"[{'state': 0, 'value': '综合安装维修'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘总监', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1083405983, 'lastOnlineTime': 1658630177231, 'staffName': '董先生'}",37021205,金家岭街道,6000100130000,物业维修,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '包吃'}]",青岛,全职,不限,False,False,3152177b-5e3b-4a3f-a1fe-ea1f421d6382
1,False,False,1,市北区,703,61679,https://rd5-public.zhaopin.cn/imgs/company/3244ad2bd0de9c505ec848effa6074fa.png,威高集团,CZ000616790,61679,['中国500强'],10000人以上,http://company.zhaopin.com/CZ000616790.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《物流专员·最新发布职位榜》', 'reportData': {'listid': '688600', 'listcity': '青岛', 'jdname': '物流专员', 'workexp': '1-3年', 'jd3rdlevel': '物流专员', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CC000616790J40315076508'}}, 'recommendReason': None, 'type': 30}}",False,医药制造,0,0,40315076508,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,物流专员,[],CC000616790J40315076508,[],,1,1,,http://jobs.zhaopin.com/CC000616790J40315076508.htm,http://jobs.zhaopin.com/CC000616790J40315076508.htm,民营,False,2022-07-06 17:01:48,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '加班费'}, {'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '同城货运'}, {'state': 0, 'value': '冷链运输'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f6.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 1, 'hrOnlineState': '当前在线', 'id': 1081092853, 'lastOnlineTime': 1658671261666, 'staffName': '生基医疗'}",37020314,即墨路街道,2000500120000,物流专员,,,0,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '五险一金'}]",青岛,全职,1-3年,False,False,7f83ce12-a36c-45a8-9aba-d2a94a90c0b9
1,False,False,1,,703,60836212,https://rd5-public.zhaopin.cn/imgs/company/c6fb85c31e90b76d60ff275cd60b73bf.png,青岛市华测检测技术有限公司,CZ608362120,60836212,[],500-999人,http://company.zhaopin.com/CZ608362120.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,检测/认证,10,0,40306287310,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,食品检测员(面向2023年毕业生),[],CC608362120J40306287310,[],,1,1,,http://jobs.zhaopin.com/CC608362120J40306287310.htm,http://jobs.zhaopin.com/CC608362120J40306287310.htm,上市公司,True,2022-07-19 10:24:31,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,100-200/天,,100-200,2,"[{'state': 0, 'value': '农产品'}, {'state': 0, 'value': '方便食品'}, {'state': 0, 'value': '药物残留检验'}, {'state': 0, 'value': '金属含量检验'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1631596247814374128/5kXCIWhg50v1SCjD8372EC8F063AF26D3010BEEF7917F989.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘主管', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1113997736, 'lastOnlineTime': 1658629320300, 'staffName': '王女士'}",37021202,中韩街道,10000100150000,食品/饮料检验,,,5,"[{'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '餐补'}]",青岛,实习,无经验,False,False,93380496-45d6-4dad-8745-2c7615b9ef86
1,False,False,1,市南区,703,13428619,http://campusimage.zhaopin.com/pic/cimg/Company/Logo/13428619/11756439632_136x136.jpg,青岛双星名人集团股份有限公司,CZ134286190,13428619,[],10000人以上,http://company.zhaopin.com/CZ134286190.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,金属制品业,0,0,40238673314,,"{'icon': '', 'matched': 0, 'tagState': 0}",1002,品管员（服装）,[],CC134286190J40238673314,[],,1,1,,http://jobs.zhaopin.com/CC134286190J40238673314.htm,http://jobs.zhaopin.com/CC134286190J40238673314.htm,股份制企业,False,2022-07-19 00:12:25,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,6千-8千,,6001-8000,1,"[{'state': 0, 'value': '服装质量'}]","{'authenticationState': 0, 'avatar': 'http://fecdn4.zhaopin.cn/rd/weex/assets/images/wx_2_avatar_female_1.fd96b04ea311feb39906b7380ac14817.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1076933438, 'lastOnlineTime': 1658582795815, 'staffName': '周女士'}",37020208,八大峡街道,15000400050000,服装/纺织品/皮革质量管理,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '节日福利'}]",青岛,全职,1-3年,False,False,125c97dc-e321-47db-a866-07b099a16641
