applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,开福区,749,127111515,,海南新盈科技有限公司,CZL1271115150,127111515,[],10000人以上,http://company.zhaopin.com/CZL1271115150.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,货运/物流仓储,0,0,40303933311,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,送餐员高薪无压自由0元入职,[],CCL1271115150J40303933311,[],,1,1,,http://jobs.zhaopin.com/CCL1271115150J40303933311.htm,http://jobs.zhaopin.com/CCL1271115150J40303933311.htm,民营,False,2022-07-04 13:35:23,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",20,,False,False,False,9千-1.7万,,9001-17000,1,"[{'state': 0, 'value': '公司提供电动车'}, {'state': 0, 'value': '饿了么'}, {'state': 0, 'value': '高低温补贴'}, {'state': 0, 'value': '交通补贴'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '电动车驾驶'}, {'state': 0, 'value': '超市配送'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1651307606946977451/USQHU4osdubMuB63A6D50E42C250AA24A48AC9B71CA2FB37.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'hr', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1112090345, 'lastOnlineTime': 1658568061015, 'staffName': '杨女士'}",43010507,通泰街街道,2000400050000,送餐员,,西牌楼,0,[],长沙,全职,不限,False,False,f911b234-ca20-4438-a289-ffafd8aa93f8
1,False,False,1,天心区,749,121589655,https://storage-public.zhaopin.cn/org/logo/1654148548701269975/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210329184223.jpg,深圳市米达实业管理有限公司,CZL1215896550,121589655,[],10000人以上,http://company.zhaopin.com/CZL1215896550.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '五险一金包吃住双休长白班普通工衣'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,电子/半导体/集成电路,0,0,40312693108,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,HUAWEI内推8500,[],CCL1215896550J40312693108,[],五险一金包吃住双休长白班普通工衣,0,1,,http://jobs.zhaopin.com/CCL1215896550J40312693108.htm,http://jobs.zhaopin.com/CCL1215896550J40312693108.htm,股份制企业,False,2022-07-01 11:39:52,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",200,,False,False,False,7千-9千,13薪,7001-9000,1,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '双休'}, {'state': 0, 'value': '自愿加班'}, {'state': 0, 'value': '长白班'}, {'state': 0, 'value': '检验员'}, {'state': 0, 'value': '仓管员'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'BOSS', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1141256595, 'lastOnlineTime': 1658641119915, 'staffName': '谭女士'}",43010308,青园街道,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '无试用期'}, {'state': 0, 'value': '周末双休'}]",长沙,全职,不限,False,False,ebd792c8-893f-42c2-a94a-719aa529cb49
1,False,False,1,岳麓区,749,12000236,https://rd5-public.zhaopin.cn/imgs/company/dc6327345e8ba5de1c69832e5e22c9ef.png,新东方教育科技集团有限公司,CZ120002360,12000236,['已上市'],10000人以上,http://special.zhaopin.com/bj/2012/xdf022329/index.html,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '六险一金，周末双休，工作氛围好，福利健全'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,培训/课外教育/教育辅助,0,0,40303382802,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,资产管理专员,[],CC120002360J40303382802,[],六险一金，周末双休，工作氛围好，福利健全,1,1,,http://jobs.zhaopin.com/CC120002360J40303382802.htm,http://jobs.zhaopin.com/CC120002360J40303382802.htm,上市公司,False,2022-07-16 00:05:04,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-7千,,6001-7000,1,"[{'state': 0, 'value': '行政综合岗位'}, {'state': 0, 'value': '资产管理'}, {'state': 0, 'value': '行政管理'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HRBP', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1080870552, 'lastOnlineTime': 1658580744139, 'staffName': '易笑梅'}",43010403,桔子洲街道,14000100190000,资产管理,,,0,"[{'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '六险一金'}]",长沙,全职,1-3年,False,False,fdfba865-050e-4659-8492-032760ff1235
1,False,False,1,,749,66550032,https://storage-public.zhaopin.cn/CompanyLogo/20150817/4562EC1F224045BF88074562F8438FB2.jpg,宇鑫物流,CZ665500320,66550032,[],10000人以上,http://company.zhaopin.com/CZ665500320.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《搬运工·高投递榜》', 'reportData': {'listid': '334243', 'listcity': '长沙', 'jdname': '高薪急招装卸工包吃住', 'workexp': '不限', 'jd3rdlevel': '搬运工', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CC665500321J90250980000'}}, 'recommendReason': None, 'type': 30}}",False,货运/物流仓储,0,0,31269078954,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,高薪急招装卸工包吃住,[],CC665500321J90250980000,[],,1,1,,http://jobs.zhaopin.com/CC665500321J90250980000.htm,http://jobs.zhaopin.com/CC665500321J90250980000.htm,股份制企业,False,2022-06-27 15:25:09,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",50,,False,False,False,5千-8千,,5001-8000,1,"[{'state': 0, 'value': '分拣'}, {'state': 0, 'value': '装卸'}, {'state': 0, 'value': '理货'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/wechat/avatar/1587006170020251132/132?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力资源经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 204097284, 'lastOnlineTime': 1658632594230, 'staffName': '湖南人力'}",43012103,湘龙街道,2000400010000,搬运工,,,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '节日福利'}]",长沙,全职,不限,False,False,926e6b92-0565-4a25-abae-a9a5d63e89d5
1,False,False,1,芙蓉区,749,31584711,http://campusimage.zhaopin.com/pic/cimg/Company/Logo/31584711/203090450398_136x136.jpg,京北方,CZ315847110,31584711,"['已上市', '最佳雇主']",10000人以上,http://company.zhaopin.com/CZ315847110.htm,,0,,高中,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,IT服务,0,0,40204848807,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,银行大堂引导员+就近分配,[],CC315847110J40204848807,[],,1,1,,http://jobs.zhaopin.com/CC315847110J40204848807.htm,http://jobs.zhaopin.com/CC315847110J40204848807.htm,民营,False,2022-07-20 15:39:05,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,2千-4千,,2001-4000,1,"[{'state': 0, 'value': '大堂副理'}, {'state': 0, 'value': '银行'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1631757571067812364/JuX7DvS1IsjXyxr413A5FE74CA5D96BC751930BD072AF079.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 1, 'hrOnlineState': '当前在线', 'id': 1107269266, 'lastOnlineTime': 1658672273571, 'staffName': '王女士'}",43010202,朝阳街街道,12000300030000,大堂经理,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}]",长沙,全职,不限,False,False,daa47bc4-ba82-4c1b-8016-ca7105d0013b
1,False,False,1,宁乡市,749,126966784,https://storage-public.zhaopin.cn/org/logo/1621404830932690372/2777044440d1abcae6ecf7835ea3134.jpg,湖南楷辛实业集团有限公司,CZL1269667840,126966784,[],20-99人,http://company.zhaopin.com/CZL1269667840.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《服务员·最新发布职位榜》', 'reportData': {'listid': '673947', 'listcity': '长沙', 'jdname': '餐饮服务员（VIP）', 'workexp': '无经验', 'jd3rdlevel': '服务员', 'bizid': '300173', 'worktype': '全职', 'jdno': 'CCL1269667840J40298237903'}}, 'recommendReason': None, 'type': 30}}",False,房地产开发与经营,0,0,40298237903,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,餐饮服务员（VIP）,[],CCL1269667840J40298237903,[],,1,1,,http://jobs.zhaopin.com/CCL1269667840J40298237903.htm,http://jobs.zhaopin.com/CCL1269667840J40298237903.htm,民营,False,2022-07-22 00:11:28,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,3千-5千,,3001-5000,1,"[{'state': 0, 'value': '包吃包住'}, {'state': 0, 'value': '五险'}, {'state': 0, 'value': '底薪加提成'}, {'state': 0, 'value': '免费培训'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1639909743995360835/ea603db2-cad2-479c-ae24-30c5a44099b3.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '19198215769', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1109349270, 'lastOnlineTime': 1658571756167, 'staffName': '谢女士'}",43018227,城郊街道,6000500040000,服务员,,,0,"[{'state': 0, 'value': '节日福利'}]",长沙,全职,无经验,False,False,bfe9754f-821c-4639-af31-55c00b554e2f
1,False,False,1,雨花区,749,134769195,,仁联企服(上海)科技有限公司,CZL1347691950,134769195,[],10000人以上,http://company.zhaopin.com/CZL1347691950.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '周末休息 长白班 法定节假日 带薪培训'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,人力资源服务,0,0,40273142811,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,马爸爸客服 月薪8K 包住宿,[],CCL1347691950J40273142811,[],周末休息 长白班 法定节假日 带薪培训,1,1,,http://jobs.zhaopin.com/CCL1347691950J40273142811.htm,http://jobs.zhaopin.com/CCL1347691950J40273142811.htm,股份制企业,False,2022-07-18 20:30:52,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",15,,False,False,False,8千-1.3万,,8001-13000,1,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '法定节假日'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '带薪培训年假'}, {'state': 0, 'value': '包住宿'}, {'state': 0, 'value': '朝九晚六'}, {'state': 0, 'value': '无销售性质'}, {'state': 0, 'value': '电话客服'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1651066667209937594/9c1e9882-378b-4309-b9e6-4908d2610f43.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '高级行政经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1134994971, 'lastOnlineTime': 1658477029697, 'staffName': '葛先生'}",43011109,井湾子街道,13000100100000,客服专员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '每年多次调薪'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '住房补贴'}]",长沙,全职,不限,False,False,6d3f9b20-ef22-4b87-b462-fe7940a113e5
1,False,False,1,雨花区,749,25355403,,湖南新环境网络科技有限公司,CZ253554030,25355403,[],1000-9999人,http://company.zhaopin.com/CZ253554030.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '实习生优先录取，包吃包住，可出实习证明'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网,4,0,40222607402,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,00后喜欢的工作+包吃包住+就近安排,[],CC253554030J40222607402,[],实习生优先录取，包吃包住，可出实习证明,1,1,,http://jobs.zhaopin.com/CC253554030J40222607402.htm,http://jobs.zhaopin.com/CC253554030J40222607402.htm,民营,False,2022-07-24 00:11:26,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,150-200/天,,150-200,2,"[{'state': 0, 'value': '网络销售'}, {'state': 0, 'value': '店面销售'}, {'state': 0, 'value': '面销'}, {'state': 0, 'value': '包吃包住'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '不出差'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/5115e6e4c5b947ddaac6417f270d7e66/bd6c5d1a-955d-41a1-a147-52a79f7928da.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1098330952, 'lastOnlineTime': 1658578974519, 'staffName': '刘洋'}",43011109,井湾子街道,19000200100000,销售顾问,,,6,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}]",长沙,实习,无经验,False,False,647df996-2289-48f9-b943-2d20dfdbd3e2
1,False,False,1,岳麓区,749,19719051,https://storage-public.zhaopin.cn/org/logo/1638436451230035355/%E5%85%AC%E5%8F%B8logo.png,湖南中科星城石墨有限公司,CZ197190510,19719051,[],1000-9999人,http://company.zhaopin.com/CZ197190510.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,新能源,0,0,40277254806,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,管培生（能源管理）,[],CC197190510J40277254806,[],,1,1,,http://jobs.zhaopin.com/CC197190510J40277254806.htm,http://jobs.zhaopin.com/CC197190510J40277254806.htm,上市公司,False,2022-07-13 15:42:59,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-6千,14薪,5001-6000,1,"[{'state': 0, 'value': '综合能源'}, {'state': 0, 'value': '能源规划'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1116781598, 'lastOnlineTime': 1658568534722, 'staffName': '熊芳'}",43010415,梅溪湖街道,21000300010000,节能/能源工程师,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '高温补贴'}]",长沙,全职,无经验,False,False,226d31d8-523a-4b39-b685-048cba66af8e
1,False,False,1,雨花区,749,44417318,https://storage-public.zhaopin.cn/user/avatar/1590033012009640197/%E5%85%AC%E5%8F%B8LOGO.jpg,长沙鹏泽生物科技有限公司,CZ444173180,44417318,[],500-999人,http://company.zhaopin.com/CC444173184.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《网络客服·最新发布职位榜》', 'reportData': {'listid': '516650', 'listcity': '长沙', 'jdname': '售前客服(包吃住+五险+团建+下午茶）', 'workexp': '无经验', 'jd3rdlevel': '网络客服', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC444173180J40177341613'}}, 'recommendReason': None, 'type': 30}}",False,电子商务,0,0,40177341613,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,售前客服(包吃住+五险+团建+下午茶）,[],CC444173180J40177341613,[],,1,1,,http://jobs.zhaopin.com/CC444173180J40177341613.htm,http://jobs.zhaopin.com/CC444173180J40177341613.htm,民营,False,2022-07-02 00:35:02,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,4千-6千,13薪,4001-6000,1,"[{'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '电商客服'}, {'state': 0, 'value': '倒班制'}, {'state': 0, 'value': '非销售客服'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘经理', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1111902095, 'lastOnlineTime': 1658622097679, 'staffName': '周女士'}",43011111,长沙雨花经济开发区,13000100190000,网络客服,,,0,"[{'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '节日福利'}]",长沙,全职,无经验,False,False,60597b04-0451-4395-b1ff-5f9b0c1bcd63
