applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,上城区,653,12060807,https://storage-public.zhaopin.cn/org/logo/1621503090298534157/%E4%BA%A4%E9%80%9A%E9%93%B6%E8%A1%8C%E4%BF%A1%E7%94%A8%E5%8D%A1LOGO.jpg,交通银行信用卡中心,CZ120608070,12060807,['最佳雇主'],10000人以上,http://company.zhaopin.com/CZ120608070.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《销售顾问·高投递榜》', 'reportData': {'listid': '275675', 'listcity': '杭州', 'jdname': '央企交通银行六险一金', 'workexp': '无经验', 'jd3rdlevel': '销售顾问', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CC120608070J40314769316'}}, 'recommendReason': None, 'type': 30}}",False,银行,0,0,40314769316,,"{'icon': '', 'matched': 0, 'tagState': 0}",1005,央企交通银行六险一金,[],CC120608070J40314769316,[],,1,1,,http://jobs.zhaopin.com/CC120608070J40314769316.htm,http://jobs.zhaopin.com/CC120608070J40314769316.htm,国企,False,2022-07-25 00:18:40,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,1万-2万,,10001-20000,1,"[{'state': 0, 'value': '银行'}, {'state': 0, 'value': '保险行业'}, {'state': 0, 'value': '餐饮业'}, {'state': 0, 'value': '个人客户（2C）'}, {'state': 0, 'value': '销售专员'}, {'state': 0, 'value': '面销'}, {'state': 0, 'value': '地推销售'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '业务主任', 'hrOnlineIocState': 0, 'hrOnlineState': '今日活跃', 'id': 1103303938, 'lastOnlineTime': 1658681020426, 'staffName': '陈先生'}",33010201,凯旋街道,19000200100000,销售顾问,,南肖埠,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '全额公积金'}]",杭州,全职,无经验,False,False,3ace50af-cb26-4179-b7e8-8a6935c301d9
1,False,False,1,拱墅区,653,14059911,https://fileihr.zhaopin.com/014/059/014059911/logo/e5d12a75-4353-420d-be56-42ef569c61dd.gif,杭州我爱我家,CZ140599110,14059911,[],1000-9999人,http://special.zhaopin.com/hz/2014/wawj032885,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,房地产开发与经营,0,0,40301444507,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,招销售代表+无责底薪+提成不封顶+上班就近安排,[],CC140599110J40301444507,[],,1,1,,http://jobs.zhaopin.com/CC140599110J40301444507.htm,http://jobs.zhaopin.com/CC140599110J40301444507.htm,民营,False,2022-07-15 07:13:55,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,1万-2万,,10001-20000,1,"[{'state': 0, 'value': '电销'}, {'state': 0, 'value': '店面销售'}, {'state': 0, 'value': '面销'}, {'state': 0, 'value': '电话销售'}]","{'authenticationState': 0, 'avatar': 'http://fecdn5.zhaopin.cn/rd_zhaopin_com/weex/assets/images/wx_1_avatar_female_4.19c5a8.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1128668338, 'lastOnlineTime': 1658719034660, 'staffName': '李艳'}",33010501,湖墅街道,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '定期团建'}]",杭州,全职,无经验,False,False,300ac0f8-4972-4aed-affe-38cdd711ac48
1,False,False,1,临平区,653,133242918,https://storage-public.zhaopin.cn/org/logo/1629703181165843919/1629703161%281%29.jpg,江苏嘉盛环境设备制造有限公司,CZL1332429180,133242918,[],1000-9999人,http://company.zhaopin.com/CZL1332429180.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《销售顾问·高投递榜》', 'reportData': {'listid': '275675', 'listcity': '杭州', 'jdname': '销售专员', 'workexp': '无经验', 'jd3rdlevel': '销售顾问', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CCL1332429180J40241532113'}}, 'recommendReason': None, 'type': 30}}",False,专用设备制造,0,0,40241532113,,"{'icon': '', 'matched': 0, 'tagState': 0}",1003,销售专员,[],CCL1332429180J40241532113,[],,1,1,,http://jobs.zhaopin.com/CCL1332429180J40241532113.htm,http://jobs.zhaopin.com/CCL1332429180J40241532113.htm,民营,False,2022-07-16 14:56:20,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,9千-1.3万,,9001-13000,1,"[{'state': 0, 'value': '新能源'}, {'state': 0, 'value': '渠道销售'}, {'state': 0, 'value': '全国'}, {'state': 0, 'value': '企业客户（2B）'}, {'state': 0, 'value': '较多出差'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1122356586, 'lastOnlineTime': 1658419881537, 'staffName': '梁玉洁'}",33011303,临平街道,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '年终奖'}]",杭州,全职,无经验,False,False,e4626253-a9be-4e9b-9fe9-22cff6b18317
1,False,False,1,,653,14075644,https://rd5-public.zhaopin.cn/imgs/company/b2a5c4086d2fcd78667a3204b09863cc.jpg,话机世界通信集团股份有限公司,CZ140756440,14075644,[],1000-9999人,http://company.zhaopin.com/CZ140756440.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '高薪、完善的晋升通道、良好的培训培养体系'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,快速消费品,0,0,40219201104,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,年薪15万精英管培生,[],CC140756440J40219201104,[],高薪、完善的晋升通道、良好的培训培养体系,1,1,,http://jobs.zhaopin.com/CC140756440J40219201104.htm,http://jobs.zhaopin.com/CC140756440J40219201104.htm,民营,False,2022-07-24 00:12:32,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,1万-1.5万,13薪,10001-15000,1,"[{'state': 0, 'value': '新零售'}, {'state': 0, 'value': '通信/网络设备'}, {'state': 0, 'value': '店面销售'}, {'state': 0, 'value': '面销'}, {'state': 0, 'value': '电销'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人力资源经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1118904390, 'lastOnlineTime': 1658720184330, 'staffName': '黄丽娟'}",33010509,米市巷街道,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '员工旅游'}]",杭州,全职,无经验,False,False,3857208c-d44f-4f9a-8c0f-cacfce7e4c6f
1,False,False,1,拱墅区,653,125470102,https://storage-public.zhaopin.cn/user/avatar/1614303695640529287/5eadd487-8056-4fb5-a8f1-85923cdf6086.jpg,杭州融海旅游有限公司,CZL1254701020,125470102,[],1000-9999人,http://company.zhaopin.com/CZL1254701020.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '销售顾问互联网热投榜|工龄无经验', 'reportData': {'listid': '6936308', 'listcity': '杭州', 'jdname': '销售专员➕上班自由➕早九晚五', 'workexp': '无经验', 'jd3rdlevel': '销售顾问', 'bizid': '300553', 'worktype': '全职', 'jdno': 'CCL1254701020J40267143113'}}, 'recommendReason': None, 'type': 30}}",False,在线生活服务（O2O）,0,0,40267143113,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,销售专员➕上班自由➕早九晚五,[],CCL1254701020J40267143113,[],,1,1,,http://jobs.zhaopin.com/CCL1254701020J40267143113.htm,http://jobs.zhaopin.com/CCL1254701020J40267143113.htm,民营,False,2022-07-22 10:29:48,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,8千-1.6万,,8001-16000,1,"[{'state': 0, 'value': '不出差'}, {'state': 0, 'value': '销售专员'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/bapp/weex/1648709895890794636/MYYpQWodue9gcTQM998E29419D223641813849F12AFBC591.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HRBP', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1132324469, 'lastOnlineTime': 1658724949771, 'staffName': '张女士'}",33010509,米市巷街道,19000200100000,销售顾问,,米市巷,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '不加班'}]",杭州,全职,无经验,False,False,73f6a784-5cb6-4d38-870f-619850ec139c
1,False,False,1,上城区,653,85507208,https://storage-public.zhaopin.cn/user/avatar/1583384545889552117/upload_fc7e7a6a30825fe5450852d6bff72459.jpg,浙江越众通信设备有限公司,CZ855072080,85507208,[],100-299人,http://company.zhaopin.com/CZ855072080.htm,,0,,高中,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '电信5G受理推广、有无经验均可、培训上岗'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,通信/网络设备,0,0,40291439416,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,销售外拓/免费公寓/月薪15K/福利待遇优【最新-20】,[],CC855072080J40291439416,[],电信5G受理推广、有无经验均可、培训上岗,1,1,,http://jobs.zhaopin.com/CC855072080J40291439416.htm,http://jobs.zhaopin.com/CC855072080J40291439416.htm,民营,False,2022-07-22 09:17:36,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",20,,False,False,False,1.1万-1.5万,,11001-15000,1,"[{'state': 0, 'value': '酒店/民宿'}, {'state': 0, 'value': '旅游业'}, {'state': 0, 'value': '餐饮业'}, {'state': 0, 'value': '教育培训'}, {'state': 0, 'value': '留学教育'}, {'state': 0, 'value': '保险行业'}, {'state': 0, 'value': '贷款行业'}, {'state': 0, 'value': '互联网金融'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/9e5f86fbd8804486890c5edf88304c74/8e9e6682-2a9e-4402-9957-fd90fb62a73c.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '刚刚活跃', 'id': 1125867568, 'lastOnlineTime': 1658723728883, 'staffName': '徐女士'}",33010201,凯旋街道,19000200100000,销售顾问,,南肖埠,0,"[{'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '弹性工作'}, {'state': 0, 'value': '通讯补助'}]",杭州,全职,无经验,False,False,8d14376d-257f-41c7-9b62-bbcb140e026f
1,True,False,1,上城区,653,14059911,https://fileihr.zhaopin.com/014/059/014059911/logo/e5d12a75-4353-420d-be56-42ef569c61dd.gif,杭州我爱我家,CZ140599110,14059911,[],1000-9999人,http://special.zhaopin.com/hz/2014/wawj032885,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '五险一金 工作自由'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,房地产开发与经营,6,0,40319883407,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,销售收入过万+带薪培训+全杭州就近安排,[],CC140599110J40319883407,[],五险一金 工作自由,1,1,,http://jobs.zhaopin.com/CC140599110J40319883407.htm,http://jobs.zhaopin.com/CC140599110J40319883407.htm,民营,False,2022-07-22 16:22:13,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,300-500/天,,300-500,2,"[{'state': 0, 'value': '门店销售'}, {'state': 0, 'value': '网络销售'}, {'state': 0, 'value': '渠道销售'}, {'state': 0, 'value': '面销'}, {'state': 0, 'value': '直销'}, {'state': 0, 'value': '代理商销售'}, {'state': 0, 'value': '区域销售'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1647604953661414734/9HYtxD7vq1J7PuX2A77D37E9D44493A2A18C528A1AC66E74.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事主管', 'hrOnlineIocState': 1, 'hrOnlineState': '当前在线', 'id': 1122128817, 'lastOnlineTime': 1658726711705, 'staffName': '蒋云杰'}",33010203,望江街道,19000200100000,销售顾问,,,6,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '无试用期'}, {'state': 0, 'value': '试用期全额'}]",杭州,实习,无经验,False,False,49551b96-723b-4975-8b2a-2881477a8f4b
1,False,False,1,西湖区,653,139074621,https://storage-public.zhaopin.cn/org/logo/1647508217221568300/logo.png,杭州绿时袋科技集团有限公司,CZL1390746210,139074621,[],100-299人,http://company.zhaopin.com/CZL1390746210.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '高薪资、高收入'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网,0,0,40266369710,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,高薪大客户代表,[],CCL1390746210J40266369710,[],高薪资、高收入,1,1,,http://jobs.zhaopin.com/CCL1390746210J40266369710.htm,http://jobs.zhaopin.com/CCL1390746210J40266369710.htm,民营,False,2022-07-04 10:16:08,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,8千-1.5万,,8001-15000,1,"[{'state': 0, 'value': '物联网'}, {'state': 0, 'value': '电销'}, {'state': 0, 'value': '环保'}, {'state': 0, 'value': '全国'}, {'state': 0, 'value': '不出差'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1130200479, 'lastOnlineTime': 1656918646391, 'staffName': '徐女士'}",33010610,三墩镇,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '每年多次调薪'}]",杭州,全职,无经验,False,False,60be6f20-7db4-4484-92c9-fb0a8b1d79e0
1,False,False,1,上城区,653,64543212,https://storage-public.zhaopin.cn/user/avatar/1611639844776269558/%E5%8D%8E%E6%B3%B0%E9%95%BF%E5%9F%8ELOGO%EF%BC%88%E5%9B%BD%E9%99%85%E8%B4%B8%E6%98%93%EF%BC%89.jpg,华泰长城国际贸易有限公司,CZ645432120,64543212,[],20-99人,http://company.zhaopin.com/CZ645432120.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,证券/期货,0,0,40317614908,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,甲醇期现经理,[],CC645432120J40317614908,[],,0,1,,http://jobs.zhaopin.com/CC645432120J40317614908.htm,http://jobs.zhaopin.com/CC645432120J40317614908.htm,国企,False,2022-07-12 15:24:05,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,8千-1.5万,,8001-15000,1,"[{'state': 0, 'value': '现货业务'}, {'state': 0, 'value': '大宗商品贸易'}, {'state': 0, 'value': '全职'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1030373912, 'lastOnlineTime': 1658592867109, 'staffName': '吴俊俊'}",33010208,四季青街道,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '培养合格留用'}]",杭州,全职,无经验,False,False,f0f864f8-5b70-42bb-b1a9-fa3062599b05
1,False,False,1,拱墅区,653,34766578,https://fileihr.zhaopin.com/034/766/034766578/logo/9f1301a8-69ec-4561-b6f7-a71462ff6fe7.jpg,杭州略诚网络科技有限公司,CZ347665780,34766578,[],20-99人,http://special.zhaopin.com/pagepublish/34766578/index.html,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '双休、五险、餐补、节日福利、技能培训  '}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网,0,0,444056903,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,销售代表,[],CC347665784J00444056903,[],双休、五险、餐补、节日福利、技能培训  ,1,1,,http://jobs.zhaopin.com/CC347665784J00444056903.htm,http://jobs.zhaopin.com/CC347665784J00444056903.htm,民营,False,2022-07-18 10:29:09,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",15,,False,False,False,7千-1.2万,,7001-12000,1,"[{'state': 0, 'value': '电子商务'}, {'state': 0, 'value': '电销'}, {'state': 0, 'value': '网络销售'}, {'state': 0, 'value': '渠道销售'}, {'state': 0, 'value': '店面销售'}, {'state': 0, 'value': '企业客户'}, {'state': 0, 'value': '全国'}, {'state': 0, 'value': '医药行业'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1589801505934841593/f6d848bf8a4a754e47de472a584177a8.jpg%3Fx-oss-process%3Dimage%252Fcrop%252Cx_27%252Cy_21%252Cw_278%252Ch_278?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 664588015, 'lastOnlineTime': 1658540524249, 'staffName': '许小姐'}",33010511,朝晖街道,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '周末双休'}]",杭州,校园,无经验,False,False,ad137734-4ace-4921-b182-6cb6a7cc4f49
